,File.Name,first_author_ep,measured_in_time_series_data_ep,hypothesized_driver_of_change_ep,level_of_analysis_ep,increase_decrease_ep,method.of.estimating_ep,raw.stats_ep,author_nd,measured_in_time_series_data_nd,level_of_analysis_nd,hypothesized_driver_of_change_nd,method_of_estimating_nd,increase_decrease_nd,raw_stats_nd,notes_nd,first_author_ib,measured_in_time_series_data_ib,level_of_analysis_ib,hypothesized_driver_of_change_ib,increase_decrease_ib,method_of_estimating_ib,raw_stats_ib,help_needed_ib,first_author_ps,population.structure._ps,genetic.structure._ps,spatial.structure._ps,genomic.structure._ps,measured_in_time_series_data_ps,hypothesized_driver_of_change_ps,increase_decrease_ps,method_of_estimating_ps,raw_stats_ps,measured_in_time_series_data_gf,level_of_analysis_gf,hypothesized_driver_of_change_gf,increase_decrease_gf,method_of_estimating_gf,raw_stats_gf,author_selection,measured_in_time_series_data_selection,central_question_regarding_selection_selection,outcome_of_central_question_selection,selection_level_of_analysis_selection,selection_hypothesized_driver_of_change_selection.x,selection_method_of_estimating_selection,selection_candidate_gene_list_selection,selection_coefficent_overall_selection,selection_coefficent_meanofoutliers_selection,first_author_last_name_drift,measured_in_time_series_data_drift,level_of_analysis_drift,hypothesized_driver_of_change_drift,method_of_estimating_drift,did_drift_have_effect_drift,raw_stats_drift,help_needed_drift,notes_drift,Author_fst,measured_in_time_series_data_fst,level_of_analysis_fst,hypothesized_diver_of_change_fst,spacetime_or_time_fst,sliding_window_vs_entire_genome_fst,candidate_gene_list_fst,raw_stats_fst,first_auhtor_tajima,measured_in_time_series_data_tajima,level_of_analysis_tajima,hypothesized_driver_of_change_tajima,sliding_window_vs_entire_genome_tajima,raw_stats_tajima,canidate_gene_tajima,help_needed_tajima,first_author_mc,measured_in_time_series_data_mc,level_of_anaylsis_mc,hypothesized_driver_of_change_mc,increase_decrease_mc,method_of_estimating_mc,raw_stats_mc,help_needed_mc,order_parallel,parallel._parallel,author_parallel,measured_in_time_series_data_parallel,evidence_of_parallel_evolution_parallel,snp_evidence_parallel,gene_protein_evidence_parallel,parallel_diversity.change_parallel,notes_parallel,collectedmonth_paperinfo,doi_paperinfo,year_paperinfo,journal_paperinfo,volume_paperinfo,issue_paperinfo,dbs_paperinfo,authors_paperinfo,first_author_paperinfo,keywords_paperinfo,Title_paperinfo,Notes_paperinfo,Type_paperinfo,Study.system_paperinfo,Taxon_paperinfo,Driver.of.change_paperinfo,Data.type_paperinfo,Experimental.design_paperinfo,Time.scale.years_paperinfo,Time.scale.generations_paperinfo,File.Name.1_paperinfo,revised,Driver.of.change.std_paperinfo
1,10.1002_ece3.2402.pdf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nouhaud,NA,NA,NA,NA,NA,NA,NA,,No,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nouhaud,yes,are selection experiments biased by selection for lab conditions in drosophila,no,multiple_temporal,bias in experimental methods, differences in allelic frequency,no,NA,NA,nouhaud ,yes,single,evolve and resequence study,allele frequency count,no,Assming genetic drift only median allele frequency change = 0.0074 between ancestral populations and reconstituted ancestral populations,NA,NA,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,nouhaud,no,NA,NA,NA,NA,NA,may,10.1002/ece3.2402,2016,Ecology and Evolution,6,20,er,Nouhaud P.; Tobler R.; Nolte V.; Schlötterer C.,Nouhaud,Adaptation; evolve and resequence; experimental evolution; isofemale line; whole-genome sequencing,ancestral population reconstitution from isofemale lines as a tool for experimental evolution,,article,invertebrate,Drosophila simulans & D. melanogaster,experimental,poolseq,experimental,3,50,10.1002_ece3.2402.pdf,experimental,experimental
2,10.1002_ece3.3699.pdf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Schmid,Yes,Yes,No,No,yes,habitat loss to ariculture and urbanization; anthropogenic,no change,"pairwise observed heterozygosity, pairwise expected heterozygoity, allelic richness, pairwise Fst (Weir and Cockerham)",see doc,yes,NA,NA,NA,NA,NA,schmid,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Schmid,yes,multiple spatial,habitat loss to ariculture and urbanization; anthropogenic,spacetime,genomewide,no,see doc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,No,NA,NA,NA,NA,NA,NA,NA,may,10.1002/ece3.3699,2018,ECOL EVOL,8,3,NA NA wos,Schmid; S; Neuenschwander; S; Pitteloud; C; Heckel; G; Pajkovic; M; Arlettaz; R; Alvarez; N,Schmid,conservation genetics; hybridization capture RAD; phylogeography; population genetics,spatial and temporal genetic dynamics of the grasshopper oedaleus decorus revealed by museum genomics,,article ,invertebrate,Oedaleus decorus,land use; anthropogenic,WGS,historical,140,,10.1002_ece3.3699.pdf,anthropogenic,anthropogenic
3,10.1002_ece3.4143.pdf,cammen,no,NA,NA,NA,NA,NA,cammen,yes,multiple_temporal,recovery,snps,no change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cammen,Yes,Yes,No,No,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cammen,no,NA,NA,NA,NA,NA,NA,NA,NA,cammen,no,NA,NA,NA,NA,NA,NA,NA,Cammen,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Yes,cammen,yes,yes,NA,NA,NA,no change in nucleotide diversity in two seals,may,10.1002/ece3.4143,2018,ECOL EVOL,8,13,NA NA wos,Cammen; KM; Schultz; TF; Bowen; WD; Hammill; MO; Puryear; WB; Runstadler; J; Wenzel; FW; Wood; SA; Kinnison; M,Cammen,approximate Bayesian computation; gray seal; harbor seal; restriction site-associated DNA sequencing,genomic signatures of population bottleneck and recovery in northwest atlantic pinnipeds,generation time calculated from doi.org/10.1111/j.1469-7998.1964.tb04631.x,article ,vertebrate,Halichoerus grypus atlantica & Phoca vitulina vitulina,natural evolution,reduced representation,historical,42,7,10.1002_ece3.4143.pdf,anthropogenic,anthropogenic
4,10.1002_evl3.143.pdf,NA,NA,NA,NA,NA,NA,NA,hoedjes,yes,multiple_temporal,reproductive age and diet; aging and life history,snps; pi,decreased,"significant effect of age at reproduction on genome-wide pi: F1,18 =
11.2, P = 0.0036; significant interaction between diet and age of reproduction regeimes F2,18
= 4.3, P = 0.029; low diet and early breeders had lowest average pi LE-CE: P = 0.041, (2) LE-CP: P = 0.034, (3) LE-LP: P
= 0.006, (4) LE-HP: P = 0.005)",NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hoedjes,yes,How does selction on reproductive age and larval diet affect the evolution of longevity?,Selection for later reproductive age leads to evolution of longer lifespan; larval diet only affects lifespan in early-reproducing populations,multiple_temporal,reproductive age and diet during larval stage; experimental,glm,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,hoedjes,yes,multiple_spatial,post-poned reproduction; larval diet;experimental evolution,entire genome,see notes doc,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Yes,hoedjes,yes,yes,no,yes,NA,candidate genes overlap with other studies; details figure 5,may,10.1002/evl3.143,2019,Evolution Letters,3,6,er,Hoedjes K.M.; van den Heuvel J.; Kapun M.; Keller L.; Flatt T.; Zwaan B.J.,Hoedjes,Adaptation; diet; longevity; reproduction; “evolve and resequence”,distinct genomic signals of lifespan and life history evolution in response to postponed reproduction and larval diet in drosophila,,article ,invertebrate,Drosophila melanogaster,experimental,poolseq,experimental,NA,40,10.1002_evl3.143.pdf,experimental,experimental
5,10.1002_evl3.269.pdf,NA,NA,NA,NA,NA,NA,NA,saleh,yes,multiple_temporal,warming; anthropogenic change,pi over windows,no change,pi _ 0.01205  across age cohorts; no loss of diversity over time,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,saleh,yes,Are sessile oak populations adapting in parallel to global climate change?,yes,multiple_temporal,climate change; anthropogenic,"Buffalo and Coop 2019, 2020; temporal covariances of allelic frequency changes",yes,NA,NA,saleh,no,NA,NA,NA,NA,NA,NA,NA,Saleh,yes,multiple spatial,climate change; anthropogenic,spacetime,genomewide,no,see doc,saleh,yes,multiple_spatial,climate warming; climactic transitions; ,sliding window,see notes doc,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,Yes,saleh,yes,yes,yes,NA,NA,positive covariance in allele frequences of the forests between time periods ,may,10.1002/evl3.269,2022,EVOL LETT,6,1,NA NA wos,Saleh; D; Chen; J; Leplé; JC; Leroy; T; Truffaut; L; Dencausse; B; Lalanne; C; Labadie; K; Lesur; I; Bert; D; Lagane; F; Morneau; F; Aury; JM; Plomion; C; Lascoux; M; Kremer; A,Saleh,Anthropocene; evolution; linked selection; Little Ice Age; Quercus petraea,genome-wide evolutionary response of european oaks during the anthropocene,kind of weird contemporary sampling of very old and young trees; regeneration period given from 10-30 years; so I used 20 to calculate it,article ,plant,Quercus petraea ,natural evolution,poolseq,repeated,340,17,10.1002_evl3.269.pdf,anthropogenic,anthropogenic
6,10.1007_s00239-021-10008-2.pdf,hussain,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hussain,yes,role of mutational pressure vs natural selection in shaping covid evolution,"major role of selection, minor role of mutational pressure",multiple_temporal,epidemic,"ENC plot,",no,NA,NA,hussain,no,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,Yes,hussain,no,NA,NA,NA,NA,NA,august,10.1007/s00239-021-10008-2,2021,,NA,,,Hussain S.; Rasool S.T.; Pottathil S.,Hussain,,The Evolution of Severe Acute Respiratory Syndrome Coronavirus-2 during Pandemic and Adaptation to the Host,,article,virus,Covid-19 virus,host-pathogen,WGS,historical,0.5 or 0.333333333,24.333309,10.1007_s00239-021-10008-2.pdf,host-pathogen,host-pathogen
7,10.1007_s11262-016-1332-z.pdf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wilson,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,No,NA,NA,NA,NA,NA,NA,NA,may,10.1007/s11262-016-1332-z,2016,VIRUS GENES,52,4,NA NA wos,Wilson; WC; Ruder; MG; Jasperson; D; Smith; TPL; Naraghi-Arani; P; Lenhoff; R; Stallknecht; DE; Valdivia-Granda; WA; Sheoran; D,Wilson,Epizootic hemorrhagic disease; Molecular evolution; Motif fingerprint,molecular evolution of epizootic hemorrhagic disease viruses in north america based on historical isolates using motif fingerprints,,article ,virus,Epizootic hemorrhagic disease virus,experimental,WGS,experimental,41,NA,10.1007_s11262-016-1332-z.pdf,host-pathogen,host-pathogen
8,10.1016_j.cell.2019.03.049.pdf,fages,no,NA,NA,NA,NA,NA,fages,yes,multiple_temporal,selective breeding; domestication; anthropogenic,autosomal and y chromosome nucleotide diversity,decreased,"most recent sample had a loss of between 9 and 29% nucelotide diversity compared to older samples, potential slight increase in diversity during Roman period with high demand for horses",data extracted from figure,fages,yes,multiple_temporal,domestication; selective breeding; anthropgenic,increase,calculations in paper,see notes doc,NA,,No,No,No,No,NA,NA,NA,NA,NA,yes,multiple_spatial; multiple_temporal,captivity; domestication; anthropogenic,decrease,momi2 contrasted evolutionary scenarios,"Model B2 estimated gene flow from IBE to DOM2 to be 0.4%,and to have occurred 8,483ya.",fages,yes,Has the reduced population size of horses during domestication resulted in reduced purifying selection?; What genes experienced positive selection?,"yes; candidate gene list including genes for development, gait",multiple_temporal,domestication,PBS,yes,,,fages,no,NA,NA,NA,NA,NA,NA,they did calculate some sort of drift statistic but it's a giant pairwise heat map result ,Fages,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,Yes,fages,no,NA,NA,NA,NA,NA,august,10.1016/j.cell.2019.03.049,2019,,NA,,,Fages A.; Hanghøj K.; Khan N.; Gaunitz C.; Seguin-Orlando A.; Leonardi M.; McCrory Constantz C.; Gamba C.; Al-Rasheid K.A.S.; Albizuri S.; Alfarhan A.H.; Allentoft M.; Alquraishi S.; Anthony D.; Baimukhanov N.; Barrett J.H.; Bayarsaikhan J.; Benecke N.; Bernáldez-Sánchez E.; Berrocal-Rangel L.; Biglari F.; Boessenkool S.; Boldgiv B.; Brem G.; Brown D.; Burger J.; Crubézy E.; Daugnora L.; Davoudi H.; de Barros Damgaard P.; de los Ángeles de Chorro y de Villa-Ceballos M.; Deschler-Erb S.; Detry C.; Dill N.; do Mar Oom M.; Dohr A.; Ellingvåg S.; Erdenebaatar D.; Fathi H.; Felkel S.; Fernández-Rodríguez C.; García-Viñas E.; Germonpré M.; Granado J.D.; Hallsson J.H.; Hemmer H.; Hofreiter M.; Kasparov A.; Khasanov M.; Khazaeli R.; Kosintsev P.; Kristiansen K.; Kubatbek T.; Kuderna L.; Kuznetsov P.; Laleh H.; Leonard J.A.; Lhuillier J.; Liesau von Lettow-Vorbeck C.; Logvin A.; Lõugas L.; Ludwig A.; Luis C.; Arruda A.M.; Marques-Bonet T.; Matoso Silva R.; Merz V.; Mijiddorj E.; Miller B.K.; Monchalov O.; Mohaseb F.A.; Morales A.; Nieto-Espinet A.; Nistelberger H.; Onar V.; Pálsdóttir A.H.; Pitulko V.; Pitskhelauri K.; Pruvost M.; Rajic Sikanjic P.; Rapan Papeša A.; Roslyakova N.; Sardari A.; Sauer E.; Schafberg R.; Scheu A.; Schibler J.; Schlumbaum A.; Serrand N.; Serres-Armero A.; Shapiro B.; Sheikhi Seno S.; Shevnina I.; Shidrang S.; Southon J.; Star B.; Sykes N.; Taheri K.; Taylor W.; Teegen W.-R.; Trbojević Vukičević T.; Trixl S.; Tumen D.; Undrakhbold S.; Usmanova E.; Vahdati A.; Valenzuela-Lamas S.; Viegas C.; Wallner B.; Weinstock J.; Zaibert V.; Clavel B.; Lepetz S.; Mashkour M.; Helgason A.; Stefánsson K.; Barrey E.; Willerslev E.; Outram A.K.; Librado P.; Orlando L.,Fages,,Tracking Five Millennia of Horse Management with Extensive Ancient Genome Time Series,,article,vertebrate,Equus spp.,anthropogenic,WGS,historical,42669,5333.625,10.1016_j.cell.2019.03.049.pdf,anthropogenic,anthropogenic
9,10.1016_j.chaos.2020.110018.pdf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,No,NA,NA,NA,NA,NA,NA,NA,august,10.1016/j.chaos.2020.110018,2020,,NA,,,Pathan R.K.; Biswas M.; Khandaker M.U.,Pathan,,Time series prediction of COVID-19 by mutation rate analysis using recurrent neural network-based LSTM model,,article,virus,Covid-19 virus,host-pathogen,WGS,historical,0.33 or 0.41666667,#N/A,10.1016_j.chaos.2020.110018.pdf,host-pathogen,host-pathogen
10,10.1016_j.cub.2015.08.032.pdf,sarkissian,yes,captivity; domestication; anthropogenic,multiple_inferred,"decrease; increase in deep history followed by decrease, increase, decrease",psmc,none,NA,NA,NA,NA,NA,NA,NA,NA,sarkissian,yes,multiple_temporal,captivity; domestication ; anthropogenic ,none; inbreeding appears to be roughly the same arcoss historical and modern population,"watersons theta, FHMM",see notes doc,,,No,No,No,Yes,NA,NA,NA,NA,NA,yes,multiple_temporal,captivity; domestication; anthropogenic,decrease,dadi,gene flow estimated to decrease 31 to 160 fold during last glacial maximum,sarkissian,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sarkissian,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,Yes,der sarkissian ,no,NA,NA,NA,NA,NA,may,10.1016/j.cub.2015.08.032,2015,Current Biology,25,19,NA scopus NA,Der Sarkissian C.; Ermini L.; Schubert M.; Yang M.A.; Librado P.; Fumagalli M.; Jónsson H.; Bar-Gal G.K.; Albrechtsen A.; Vieira F.G.; Petersen B.; Ginolhac A.; Seguin-Orlando A.; Magnussen K.; Fages A.; Gamba C.; Lorente-Galdos B.; Polani S.; Steiner C.; Neuditschko M.; Jagannathan V.; Feh C.; Greenblatt C.L.; Ludwig A.; Abramson N.I.; Zimmermann W.; Schafberg R.; Tikhonov A.; Sicheritz-Ponten T.; Willerslev E.; Marques-Bonet T.; Ryder O.A.; McCue M.; Rieder S.; Leeb T.; Slatkin M.; Orlando L.,Der,,evolutionary genomics and conservation of the endangered przewalski's horse,generation time of 8 years from 10.1038/s41586-024-07597-5,article,vertebrate,Equus ferus ssp. przewalskii,natural evolution,WGS,historical,138,17.25,10.1016_j.cub.2015.08.032.pdf,anthropogenic,anthropogenic
