0,File Name,'effective population',first_author,measured_in_time series_data,hypothesized_driver_of_change,level_of_analysis,increase_decrease,method of estimating,raw stats
1,10.1002_ece3.2402.pdf,No,NA,NA,NA,NA,NA,NA,NA
2,10.1002_ece3.3699.pdf,No,NA,NA,NA,NA,NA,NA,NA
3,10.1002_ece3.4143.pdf,Yes,cammen,no,NA,NA,NA,NA,NA
4,10.1002_evl3.143.pdf,No,NA,NA,NA,NA,NA,NA,NA
6,10.1002_evl3.269.pdf,No,NA,NA,NA,NA,NA,NA,NA
7,10.1007_s00239-021-10008-2.pdf,Yes,hussain,no,NA,NA,NA,NA,NA
8,10.1007_s11262-016-1332-z.pdf,No,NA,NA,NA,NA,NA,NA,NA
9,10.1016_j.cell.2019.03.049.pdf,Yes,fages,no,NA,NA,NA,NA,NA
10,10.1016_j.chaos.2020.110018.pdf,No,NA,NA,NA,NA,NA,NA,NA
11,10.1016_j.cub.2015.08.032.pdf,Yes,sarkissian,yes,captivity; domestication; anthropogenic,multiple_inferred,"decrease; increase in deep history followed by decrease, increase, decrease",psmc,none
12,10.1016_j.cub.2016.10.061.pdf,No,NA,NA,NA,NA,NA,NA,NA
13,10.1016_j.cub.2023.01.064.pdf,No,NA,NA,NA,NA,NA,NA,NA
14,10.1016_j.cub.2023.03.084.pdf,No,NA,NA,NA,NA,NA,NA,NA
15,10.1016_j.cub.2024.01.056.pdf,No,NA,NA,NA,NA,NA,NA,NA
16,10.1016_j.envres.2023.115695.pdf,No,NA,NA,NA,NA,NA,NA,NA
17,10.1016_j.jasrep.2020.102364.pdf,No,NA,NA,NA,NA,NA,NA,NA
18,10.1016_j.jfma.2018.01.019.pdf,Yes,gong,yes,epidemic,multiple_temporal,increase,Ne/t,none
19,10.1016_j.jgg.2020.10.002.pdf,No,NA,NA,NA,NA,NA,NA,NA
20,10.1016_j.meegid.2013.03.035.pdf,No,NA,NA,NA,NA,NA,NA,NA
21,10.1016_j.meegid.2015.02.023.pdf,No,NA,NA,NA,NA,NA,NA,NA
22,10.1016_j.meegid.2019.03.016.pdf,Yes,arana,yes,competition,multiple_temporal,"stable,decrease",Bayesian Skyride Plot,none
23,10.1016_j.meegid.2021.105153.pdf,No,NA,NA,NA,NA,NA,NA,NA
24,10.1016_j.meegid.2021.105184.pdf,No,NA,NA,NA,NA,NA,NA,NA
25,10.1016_j.meegid.2024.105623.pdf,No,NA,NA,NA,NA,NA,NA,NA
26,10.1016_j.soilbio.2019.05.004.pdf,No,NA,NA,NA,NA,NA,NA,NA
27,10.1016_j.watres.2022.118556.pdf,No,NA,NA,NA,NA,NA,NA,NA
28,10.1016_j.ympev.2023.107822.pdf,No,NA,NA,NA,NA,NA,NA,NA
29,10.1021_acs.est.2c00793.pdf,No,NA,NA,NA,NA,NA,NA,NA
30,10.1038_ismej.2015.241.pdf,No,NA,NA,NA,NA,NA,NA,NA
31,10.1038_ncomms3172.pdf,No,NA,NA,NA,NA,NA,NA,NA
32,10.1038_s41437-019-0264-5.pdf,Yes,Qian,yes,global warming; temperature; anthropogenic,single,NA,Wright–Fisher ABC-based approach (WFABC),> 1000
34,10.1038_s41467-021-21281-6.pdf,Yes,iranmehr,yes,high 02 levels; experimental,multiple_spatial,decrease; bottleneck followed by expansion,Wright-Fisher Markov-Chain,< 200
35,10.1038_s41467-022-31622-8.pdf,Yes,stern,yes,salinity decline; climate change; experimental,multiple_spatial,NA,poolseq R package; Wright–Fisher ABC-based approach (WFABC),"Replicate Group WFABC BS3C	Control	1742
BS4C	Control	1670
BSE1	Control	1525
BSE2	Control	1496
BSE3	Treatment	1613
BSE4	Treatment	1367
BSE5	Treatment	1489
BSE6	Treatment	1201
BSE8	Treatment	1471
BSE9	Treatment	1445
BSE11	Treatment	1801
BSE12	Treatment	1647"
36,10.1038_s41467-023-43391-z.pdf,No,NA,NA,NA,NA,NA,NA,NA
37,10.1038_s41477-019-0437-5.pdf,No,NA,NA,NA,NA,NA,NA,NA
38,10.1038_s41558-023-01696-3.pdf,Yes,turbek,yes,climate change; anthropogenic; introgression,multiple_temporal,increase,LD method in NeEstimator2,Past (1888-1909): 23.1-36.9; Present (1996-2015): 75.6-112.6
39,10.1038_s41559-019-0921-3.pdf,No,NA,NA,NA,NA,NA,NA,NA
40,10.1038_s41559-020-1271-x.pdf,No,NA,NA,NA,NA,NA,NA,NA
41,10.1038_s41559-022-01665-7.pdf,No,NA,NA,NA,NA,NA,NA,NA
42,10.1038_s41559-022-01816-w.pdf,Yes,parrett,yes,sexual selection; experimental,single,NA,poolseq R package,"Population Ne
Fighter A 432.2
Fighter B 368.8
Fighter C 336.9
Fighter D 340.0
Scrambler A 453.2
Scrambler B 431.7
Scrambler C 483.6
Scrambler D 471.2"
43,10.1038_s41559-023-02114-9.pdf,No,NA,NA,NA,NA,NA,NA,NA
44,10.1038_s41559-023-02185-8.pdf,Yes,sun,yes,natural,multiple_temporal,none,G-PhoCS,none
45,10.1038_s41564-022-01157-1.pdf,No,NA,NA,NA,NA,NA,NA,NA
46,10.1038_s41586-021-03224-9.pdf,No,NA,NA,NA,NA,NA,NA,NA
47,10.1038_s41586-022-04824-9.pdf,Yes,bergstrom,yes,speciation,multiple_inferred,NA,MSMC2,NA
48,10.1038_s41591-019-0559-3.pdf,No,NA,NA,NA,NA,NA,NA,NA
49,10.1038_srep38915.pdf,No,NA,NA,NA,NA,NA,NA,NA
50,10.1073_pnas.1400378111.pdf,Yes,martins,no,NA,NA,NA,NA,NA
52,10.1073_pnas.1620410114.pdf,No,NA,NA,NA,NA,NA,NA,NA
53,10.1073_pnas.1714246115.pdf,No,NA,NA,NA,NA,NA,NA,NA
54,10.1073_pnas.2201521119.pdf,Yes,brennan,yes,ocean acidification; ocean warming; climate change; anthropogenic,single,NA,poolseq R package,414
55,10.1073_pnas.242608099.pdf,Yes,tanaka,no,NA,NA,NA,NA,NA
56,10.1080_22221751.2022.2040921.pdf,No,NA,NA,NA,NA,NA,NA,NA
58,10.1093_evolut_qpad054.pdf,No,NA,NA,NA,NA,NA,NA,NA
59,10.1093_gbe_evaa036.pdf,No,NA,NA,NA,NA,NA,NA,NA
60,10.1093_gbe_evaa073.pdf,No,NA,NA,NA,NA,NA,NA,NA
61,10.1093_gbe_evaa178.pdf,No,NA,NA,NA,NA,NA,NA,NA
62,10.1093_gbe_evaa188.pdf,Yes,parejo,no,NA,NA,NA,NA,NA
63,10.1093_gbe_evab070.pdf,No,NA,NA,NA,NA,NA,NA,NA
64,10.1093_gbe_evab154.pdf,No,NA,NA,NA,NA,NA,NA,NA
65,10.1093_gbe_evab237.pdf,No,NA,NA,NA,NA,NA,NA,NA
66,10.1093_gbe_evab239.pdf,Yes,burny,yes,extreme heat; parallel evolution; experimental,multiple_spatial,NA,poolseq R package,"Sample	Ne estimate
Autosomes / X
R1	58 / 22
R2	57 / 14
R3	53 / 22
R4	54 / 19
R5	56 / 19
R6	50 / 22
R7	48 / 25
R8	60 / 20
R9	59 / 17
R10	61 / 23"
67,10.1093_gbe_evac074.pdf,Yes,schick,no,NA,NA,NA,NA,NA
69,10.1093_gbe_evac153.pdf,No,NA,NA,NA,NA,NA,NA,NA
70,10.1093_gbe_evad113.pdf,Yes,barata,yes,sexual selection; experimental,multiple_temporal,,poolseq R package,see notes file
71,10.1093_gbe_evae063.pdf,No,NA,NA,NA,NA,NA,NA,NA
72,10.1093_gbe_evae114.pdf,No,NA,NA,NA,NA,NA,NA,NA
73,10.1093_gbe_evy007.pdf,No,NA,NA,NA,NA,NA,NA,NA
74,10.1093_genetics_iyab142.pdf,No,NA,NA,NA,NA,NA,NA,NA
75,10.1093_icb_icac098.pdf,Yes,pfenninger,no,NA,NA,NA,NA,NA
77,10.1093_infdis_jix298.pdf,Yes,folkvardsen,yes,epidemic,multiple_temporal,increase,"BEAST, Bayesian Skygrid Plot",none
78,10.1093_jeb_voae068.pdf,No,NA,NA,NA,NA,NA,NA,NA
79,10.1093_molbev_msab147.pdf,No,NA,NA,NA,NA,NA,NA,NA
80,10.1093_molbev_msab340.pdf,No,NA,NA,NA,NA,NA,NA,NA
81,10.1093_molbev_msac014.pdf,No,NA,NA,NA,NA,NA,NA,NA
82,10.1093_molbev_msac179.pdf,No,NA,NA,NA,NA,NA,NA,NA
83,10.1093_molbev_msac182.pdf,No,NA,NA,NA,NA,NA,NA,NA
84,10.1093_molbev_msac189.pdf,No,NA,NA,NA,NA,NA,NA,NA
85,10.1093_molbev_msac241.pdf,Yes,hempel,no,NA,NA,NA,NA,NA
86,10.1093_molbev_msac242.pdf,No,NA,NA,NA,NA,NA,NA,NA
87,10.1093_molbev_msac248.pdf,Yes,linder,yes,NA,single,NA,census,750000
88,10.1093_molbev_msad108.pdf,No,NA,NA,NA,NA,NA,NA,NA
89,10.1093_molbev_msae053.pdf,Yes,poyraz,no,NA,NA,NA,NA,NA
90,10.1093_molbev_msae108.pdf,No,NA,NA,NA,NA,NA,NA,NA
91,10.1093_molbev_msae128.pdf,Yes,angst,no,NA,NA,NA,NA,NA
92,10.1093_molbev_msq002.pdf,Yes,lynd,no,NA,NA,NA,NA,NA
94,10.1093_molbev_mst205.pdf,Yes,tobler,yes,temperature; experimental,multiple_spatial,decrease,simulation,none
95,10.1093_molbev_msu048.pdf,Yes,baldwin-brown,no,NA,NA,NA,NA,NA
96,10.1093_molbev_msu192.pdf,Yes,skoglund,no,NA,NA,NA,NA,NA
97,10.1093_molbev_msu256.pdf,Yes,burke,no,NA,NA,NA,NA,NA
98,10.1093_molbev_msu320.pdf,Yes,franssen,no,NA,NA,NA,NA,NA
99,10.1093_molbev_msv033.pdf,No,NA,NA,NA,NA,NA,NA,NA
100,10.1093_molbev_msv248.pdf,No,NA,NA,NA,NA,NA,NA,NA
101,10.1093_molbev_msw254.pdf,No,NA,NA,NA,NA,NA,NA,NA
102,10.1093_molbev_msx247.pdf,Yes,seabra,yes,NA,multiple_spatial,, R package NB,see notes file
