File Name,'gene flow',measured_in_time_series_data,level_of_analysis,hypothesized_driver_of_change,increase_or_decrease,method_of_estimating,raw_stats
10.1002_ece3.2402.pdf,No,NA,NA,NA,NA,NA,NA
10.1002_ece3.3699.pdf,Yes,yes,NA,NA,NA,NA,NA
10.1002_ece3.4143.pdf,Yes,NA,NA,NA,NA,NA,NA
10.1002_evl3.143.pdf,No,NA,NA,NA,NA,NA,NA
10.1002_evl3.269.pdf,Yes,NA,NA,NA,NA,NA,NA
10.1007_s00239-021-10008-2.pdf,No,NA,NA,NA,NA,NA,NA
10.1007_s11262-016-1332-z.pdf,No,NA,NA,NA,NA,NA,NA
10.1016_j.cell.2019.03.049.pdf,Yes,yes,multiple_spatial; multiple_temporal,captivity; domestication; anthropogenic,decrease,momi2 contrasted evolutionary scenarios,"Model B2 estimated gene flow from IBE to DOM2 to be 0.4%,and to have occurred 8,483ya."
10.1016_j.chaos.2020.110018.pdf,No,NA,NA,NA,NA,NA,NA
10.1016_j.cub.2015.08.032.pdf,Yes,yes,multiple_temporal,captivity; domestication; anthropogenic,decrease,dadi,gene flow estimated to decrease 31 to 160 fold during last glacial maximum
10.1016_j.cub.2016.10.061.pdf,No,NA,NA,NA,NA,NA,NA
10.1016_j.cub.2023.01.064.pdf,No,NA,NA,NA,NA,NA,NA
10.1016_j.cub.2023.03.084.pdf,No,NA,NA,NA,NA,NA,NA
10.1016_j.cub.2024.01.056.pdf,No,NA,NA,NA,NA,NA,NA
10.1016_j.envres.2023.115695.pdf,No,NA,NA,NA,NA,NA,NA
10.1016_j.jasrep.2020.102364.pdf,No,NA,NA,NA,NA,NA,NA
10.1016_j.jfma.2018.01.019.pdf,No,NA,NA,NA,NA,NA,NA
10.1016_j.jgg.2020.10.002.pdf,No,NA,NA,NA,NA,NA,NA
10.1016_j.meegid.2013.03.035.pdf,No,NA,NA,NA,NA,NA,NA
10.1016_j.meegid.2015.02.023.pdf,No,NA,NA,NA,NA,NA,NA
10.1016_j.meegid.2019.03.016.pdf,No,NA,NA,NA,NA,NA,NA
10.1016_j.meegid.2021.105153.pdf,No,NA,NA,NA,NA,NA,NA
10.1016_j.meegid.2021.105184.pdf,No,NA,NA,NA,NA,NA,NA
10.1016_j.meegid.2024.105623.pdf,No,NA,NA,NA,NA,NA,NA
10.1016_j.soilbio.2019.05.004.pdf,No,NA,NA,NA,NA,NA,NA
10.1016_j.watres.2022.118556.pdf,No,NA,NA,NA,NA,NA,NA
10.1016_j.ympev.2023.107822.pdf,Yes,NA,NA,NA,NA,NA,NA
10.1021_acs.est.2c00793.pdf,No,NA,NA,NA,NA,NA,NA
10.1038_ismej.2015.241.pdf,Yes,NA,NA,NA,NA,NA,NA
10.1038_ncomms3172.pdf,No,NA,NA,NA,NA,NA,NA
10.1038_s41437-019-0264-5.pdf,No,NA,NA,NA,NA,NA,NA
10.1038_s41467-021-21281-6.pdf,No,NA,NA,NA,NA,NA,NA
10.1038_s41467-022-31622-8.pdf,No,NA,NA,NA,NA,NA,NA
10.1038_s41467-023-43391-z.pdf,No,NA,NA,NA,NA,NA,NA
10.1038_s41477-019-0437-5.pdf,Yes,yes,multiple_spatial; multiple_temporal,captivity; domestication; anthropogenic,decrease,ADMIXTURE and FastNGSAdmix,"the oldest sample (La Cougourlude, 510–475 bce) shows some of the highest levels of wild ancestry (~45%), whereas other early samples from Mas de Vignoles XIV (second to first century bce) have marginal amounts of wild ancestry (3.5–4.5%), and five samples from La Lesse-Espagnac (175–225 ce) range from ~10% to 38%.  these results suggest that the local wild gene pool played an early role for domesticated varieties, with the gene flow between wild grapevines and domesticated cultivars occurring at least 2,500 years ago"
10.1038_s41558-023-01696-3.pdf,Yes,yes,multiple_spatial; multiple_temporal,climate change; anthropogenic,increase,D statistics via ABBA-BABA,(Table in other doc) D statistics revealed excess allele sharing between contemporary  San Diego and neighbouring populations in the Pacific northwest and desert southwest relative to populations in the interior west and east
10.1038_s41559-019-0921-3.pdf,Yes,yes,multiple_spatial; multiple_temporal,introduction; anthropogenic,increase,admixture graph framework model,"the oldest EHS (collected 1650–1750) were found to have descended directly from an ancestor of Andean landraces. Within the next 100 years, potatoes in Europe admixed with newly introduced Chilean potatoes (Fig. 2d,e). In addition, twentieth-century European potatoes were found not to have descended directly from their nineteenth-century admixed predecessors, but rather to have received gene flow from  a wild potato species"
10.1038_s41559-020-1271-x.pdf,No,NA,NA,NA,NA,NA,NA
10.1038_s41559-022-01665-7.pdf,Yes,NA,NA,NA,NA,NA,NA
10.1038_s41559-022-01816-w.pdf,No,NA,NA,NA,NA,NA,NA
10.1038_s41559-023-02114-9.pdf,No,yes,multiple_temporal,natural,increase,"f stats, phylogenetic relatedness",NA
10.1038_s41559-023-02185-8.pdf,Yes,yes,multiple_spatial; multiple_temporal,natural,increase,D statistics,"(Table in doc) D-statistics further suggested that the extent of gene flow between a modern subspecies and RUSA21 was minor in comparison with that between two modern subspecies. Following a nuclear phylogeny framework with ancient (RUSA) and modern Amur tigers (ALT) clustered into an ingroup to all other mainland tigers (PopX), the D-statistics inferred an excessive level of allele sharing between Amur tigers and other mainland subspecies relative to that between modern and ancient populations"
10.1038_s41564-022-01157-1.pdf,No,NA,NA,NA,NA,NA,NA
10.1038_s41586-021-03224-9.pdf,Yes,yes,multiple_temporal,natural,increase,D statistics,"(Table in doc) On the basis of f4 ratios, we estimate 10.7–12.7% excess shared ancestry between these genomes (Supplementary Section 9), consistent with a previous study15. Because the Columbian mammoth carries a large proportion of Krestovka ancestry, gene flow from the Columbian mammoth into North American woolly mammoths would have resulted in a larger proportion of allele-sharing between Krestovka and the Wyoming woolly mammoth."
10.1038_s41586-022-04824-9.pdf,Yes,yes,multiple_spatial; multiple_temporal,captivity; domestication; anthropogenic,decrease,D statistics and admixture graph model,"(In doc) f4-statistics showed that all wolves postdating 23 ka are more similar to Siberian wolves than to European or Central Asian wolves from ~30 ka. an admixture graph model with recurrent, unidirectional gene flow from Siberia into Europe could explain these relationships"
10.1038_s41591-019-0559-3.pdf,No,NA,NA,NA,NA,NA,NA
10.1038_srep38915.pdf,No,NA,NA,NA,NA,NA,NA
10.1073_pnas.1400378111.pdf,No,NA,NA,NA,NA,NA,NA
10.1073_pnas.1620410114.pdf,Yes,yes,multiple_spatial; multiple_temporal,migration; natural,decrease,D statistics,"(In doc) D statistic did not reveal a signal of gene flow between Arctic populations (Inuit and Yup’ik) and either the modern or ancient Northwest Coast populations compared with Shuká Káa. the Northwest Coast exhibits an ancestral lineage that stems from the initial peopling of the region. The observed temporal change of mtDNA haplogroups in the area was probably caused by sampling, and no clear signs of gene flow into the area after the first settlement have been identified."
10.1073_pnas.1714246115.pdf,No,NA,NA,NA,NA,NA,NA
10.1073_pnas.2201521119.pdf,No,NA,NA,NA,NA,NA,NA
10.1073_pnas.242608099.pdf,No,NA,NA,NA,NA,NA,NA
10.1080_22221751.2022.2040921.pdf,No,NA,NA,NA,NA,NA,NA
10.1093_evolut_qpad054.pdf,Yes,NA,NA,NA,NA,NA,NA
10.1093_gbe_evaa036.pdf,No,NA,NA,NA,NA,NA,NA
10.1093_gbe_evaa073.pdf,No,NA,NA,NA,NA,NA,NA
10.1093_gbe_evaa178.pdf,No,NA,NA,NA,NA,NA,NA
10.1093_gbe_evaa188.pdf,Yes,NA,NA,NA,NA,NA,NA
10.1093_gbe_evab070.pdf,Yes,NA,NA,NA,NA,NA,NA
10.1093_gbe_evab154.pdf,No,NA,NA,NA,NA,NA,NA
10.1093_gbe_evab237.pdf,No,NA,NA,NA,NA,NA,NA
10.1093_gbe_evab239.pdf,No,NA,NA,NA,NA,NA,NA
10.1093_gbe_evac074.pdf,No,NA,NA,NA,NA,NA,NA
10.1093_gbe_evac153.pdf,No,NA,NA,NA,NA,NA,NA
10.1093_gbe_evad113.pdf,No,NA,NA,NA,NA,NA,NA
10.1093_gbe_evae063.pdf,Yes,yes,multiple_spatial; multiple_temporal,natural,NA,"D statistics and f4 symmetry, admixture model","WestBaikal_EN showed a relatively lower contribution from irk030 (P = 0.088; 25% from irk030), while WestBaikal_LNBA showed a higher contribution from irk030 (P = 0.289; 76% from irk030); Altai_HG is adequately modeled as irk030 + ANE while APS + ANE models with other APS sources break when irk030 is added to the outgroup population set"
10.1093_gbe_evae114.pdf,Yes,NA,NA,NA,NA,NA,NA
10.1093_gbe_evy007.pdf,Yes,NA,NA,NA,NA,NA,NA
10.1093_genetics_iyab142.pdf,No,NA,NA,NA,NA,NA,NA
10.1093_icb_icac098.pdf,No,NA,NA,NA,NA,NA,NA
10.1093_infdis_jix298.pdf,No,NA,NA,NA,NA,NA,NA
10.1093_jeb_voae068.pdf,Yes,NA,NA,NA,NA,NA,NA
10.1093_molbev_msab147.pdf,No,NA,NA,NA,NA,NA,NA
10.1093_molbev_msab340.pdf,Yes,yes,multiple_spatial; multiple_temporal,land barriers; natural,decrease,"D statistics via ABBA BABBA, admixture graph analysis",(Figures in doc)
10.1093_molbev_msac014.pdf,Yes,yes,multiple_spatial; multiple_temporal,natural,NA,F4 statistics via ADMIXTOOLS,(Fig in doc) 
