"","X","File.Name","first_author_ep","measured_in_time_series_data_ep","hypothesized_driver_of_change_ep","level_of_analysis_ep","increase_decrease_ep","method.of.estimating_ep","raw.stats_ep","author_nd","measured_in_time_series_data_nd","level_of_analysis_nd","hypothesized_driver_of_change_nd","method_of_estimating_nd","increase_decrease_nd","raw_stats_nd","notes_nd","first_author_ib","measured_in_time_series_data_ib","level_of_analysis_ib","hypothesized_driver_of_change_ib","increase_decrease_ib","method_of_estimating_ib","raw_stats_ib","help_needed_ib","first_author_ps","population.structure._ps","genetic.structure._ps","spatial.structure._ps","genomic.structure._ps","measured_in_time_series_data_ps","hypothesized_driver_of_change_ps","increase_decrease_ps","method_of_estimating_ps","raw_stats_ps","measured_in_time_series_data_gf","level_of_analysis_gf","hypothesized_driver_of_change_gf","increase_decrease_gf","method_of_estimating_gf","raw_stats_gf","author_selection","measured_in_time_series_data_selection","central_question_regarding_selection_selection","outcome_of_central_question_selection","selection_level_of_analysis_selection","selection_hypothesized_driver_of_change_selection.x","selection_method_of_estimating_selection","selection_candidate_gene_list_selection","selection_coefficent_overall_selection","selection_coefficent_meanofoutliers_selection","first_author_last_name_drift","measured_in_time_series_data_drift","level_of_analysis_drift","hypothesized_driver_of_change_drift","method_of_estimating_drift","did_drift_have_effect_drift","raw_stats_drift","help_needed_drift","notes_drift","Author_fst","measured_in_time_series_data_fst","level_of_analysis_fst","hypothesized_diver_of_change_fst","spacetime_or_time_fst","sliding_window_vs_entire_genome_fst","candidate_gene_list_fst","raw_stats_fst","first_auhtor_tajima","measured_in_time_series_data_tajima","level_of_analysis_tajima","hypothesized_driver_of_change_tajima","sliding_window_vs_entire_genome_tajima","raw_stats_tajima","canidate_gene_tajima","help_needed_tajima","first_author_mc","measured_in_time_series_data_mc","level_of_anaylsis_mc","hypothesized_driver_of_change_mc","increase_decrease_mc","method_of_estimating_mc","raw_stats_mc","help_needed_mc","order_parallel","parallel._parallel","author_parallel","measured_in_time_series_data_parallel","evidence_of_parallel_evolution_parallel","snp_evidence_parallel","gene_protein_evidence_parallel","parallel_diversity.change_parallel","notes_parallel","collectedmonth_paperinfo","doi_paperinfo","year_paperinfo","journal_paperinfo","volume_paperinfo","issue_paperinfo","dbs_paperinfo","authors_paperinfo","first_author_paperinfo","keywords_paperinfo","Title_paperinfo","Notes_paperinfo","Type_paperinfo","Study.system_paperinfo","Taxon_paperinfo","Driver.of.change_paperinfo","Data.type_paperinfo","Experimental.design_paperinfo","Time.scale.years_paperinfo","Time.scale.generations_paperinfo","File.Name.1_paperinfo","revised","Driver.of.change.std_paperinfo"
"8",8,"10.1016_j.cell.2019.03.049.pdf","fages","no",NA,NA,NA,NA,NA,"fages","yes","multiple_temporal","selective breeding; domestication; anthropogenic","autosomal and y chromosome nucleotide diversity","decreased","most recent sample had a loss of between 9 and 29% nucelotide diversity compared to older samples, potential slight increase in diversity during Roman period with high demand for horses","data extracted from figure","fages","yes","multiple_temporal","domestication; selective breeding; anthropgenic","increase","calculations in paper","see notes doc",NA,"","No","No","No","No",NA,NA,NA,NA,NA,"yes","multiple_spatial; multiple_temporal","captivity; domestication; anthropogenic","decrease","momi2 contrasted evolutionary scenarios","Model B2 estimated gene flow from IBE to DOM2 to be 0.4%,and to have occurred 8,483ya.","fages","yes","Has the reduced population size of horses during domestication resulted in reduced purifying selection?; What genes experienced positive selection?","yes; candidate gene list including genes for development, gait","multiple_temporal","domestication","PBS","yes","","","fages","no",NA,NA,NA,NA,NA,NA,"they did calculate some sort of drift statistic but it's a giant pairwise heat map result ","Fages","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Yes","fages","no",NA,NA,NA,NA,NA,"august","10.1016/j.cell.2019.03.049",2019,"",NA,"","","Fages A.; Hangh√∏j K.; Khan N.; Gaunitz C.; Seguin-Orlando A.; Leonardi M.; McCrory Constantz C.; Gamba C.; Al-Rasheid K.A.S.; Albizuri S.; Alfarhan A.H.; Allentoft M.; Alquraishi S.; Anthony D.; Baimukhanov N.; Barrett J.H.; Bayarsaikhan J.; Benecke N.; Bern√°ldez-S√°nchez E.; Berrocal-Rangel L.; Biglari F.; Boessenkool S.; Boldgiv B.; Brem G.; Brown D.; Burger J.; Crub√©zy E.; Daugnora L.; Davoudi H.; de Barros Damgaard P.; de los √Ångeles de Chorro y de Villa-Ceballos M.; Deschler-Erb S.; Detry C.; Dill N.; do Mar Oom M.; Dohr A.; Ellingv√•g S.; Erdenebaatar D.; Fathi H.; Felkel S.; Fern√°ndez-Rodr√≠guez C.; Garc√≠a-Vi√±as E.; Germonpr√© M.; Granado J.D.; Hallsson J.H.; Hemmer H.; Hofreiter M.; Kasparov A.; Khasanov M.; Khazaeli R.; Kosintsev P.; Kristiansen K.; Kubatbek T.; Kuderna L.; Kuznetsov P.; Laleh H.; Leonard J.A.; Lhuillier J.; Liesau von Lettow-Vorbeck C.; Logvin A.; L√µugas L.; Ludwig A.; Luis C.; Arruda A.M.; Marques-Bonet T.; Matoso Silva R.; Merz V.; Mijiddorj E.; Miller B.K.; Monchalov O.; Mohaseb F.A.; Morales A.; Nieto-Espinet A.; Nistelberger H.; Onar V.; P√°lsd√≥ttir A.H.; Pitulko V.; Pitskhelauri K.; Pruvost M.; Rajic Sikanjic P.; Rapan Pape≈°a A.; Roslyakova N.; Sardari A.; Sauer E.; Schafberg R.; Scheu A.; Schibler J.; Schlumbaum A.; Serrand N.; Serres-Armero A.; Shapiro B.; Sheikhi Seno S.; Shevnina I.; Shidrang S.; Southon J.; Star B.; Sykes N.; Taheri K.; Taylor W.; Teegen W.-R.; Trbojeviƒá Vukiƒçeviƒá T.; Trixl S.; Tumen D.; Undrakhbold S.; Usmanova E.; Vahdati A.; Valenzuela-Lamas S.; Viegas C.; Wallner B.; Weinstock J.; Zaibert V.; Clavel B.; Lepetz S.; Mashkour M.; Helgason A.; Stef√°nsson K.; Barrey E.; Willerslev E.; Outram A.K.; Librado P.; Orlando L.","Fages","","Tracking Five Millennia of Horse Management with Extensive Ancient Genome Time Series","","article","vertebrate","Mammal","anthropogenic","WGS","historical","42669","5333.625","10.1016_j.cell.2019.03.049.pdf","anthropogenic","anthropogenic"
"10",10,"10.1016_j.cub.2015.08.032.pdf","sarkissian","yes","captivity; domestication; anthropogenic","multiple_inferred","decrease; increase in deep history followed by decrease, increase, decrease","psmc","none",NA,NA,NA,NA,NA,NA,NA,NA,"sarkissian","yes","multiple_temporal","captivity; domestication ; anthropogenic ","none; inbreeding appears to be roughly the same arcoss historical and modern population","watersons theta, FHMM","see notes doc","","","No","No","No","Yes",NA,NA,NA,NA,NA,"yes","multiple_temporal","captivity; domestication; anthropogenic","decrease","dadi","gene flow estimated to decrease 31 to 160 fold during last glacial maximum","sarkissian","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sarkissian","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"Yes","der sarkissian ","no",NA,NA,NA,NA,NA,"may","10.1016/j.cub.2015.08.032",2015,"Current Biology",25,"19","NA scopus NA","Der Sarkissian C.; Ermini L.; Schubert M.; Yang M.A.; Librado P.; Fumagalli M.; J√≥nsson H.; Bar-Gal G.K.; Albrechtsen A.; Vieira F.G.; Petersen B.; Ginolhac A.; Seguin-Orlando A.; Magnussen K.; Fages A.; Gamba C.; Lorente-Galdos B.; Polani S.; Steiner C.; Neuditschko M.; Jagannathan V.; Feh C.; Greenblatt C.L.; Ludwig A.; Abramson N.I.; Zimmermann W.; Schafberg R.; Tikhonov A.; Sicheritz-Ponten T.; Willerslev E.; Marques-Bonet T.; Ryder O.A.; McCue M.; Rieder S.; Leeb T.; Slatkin M.; Orlando L.","Der","","evolutionary genomics and conservation of the endangered przewalski's horse","generation time of 8 years from 10.1038/s41586-024-07597-5","article","vertebrate","equus ferus ssp. przewalskii","natural evolution","WGS","historical","138","17.25","10.1016_j.cub.2015.08.032.pdf","anthropogenic","anthropogenic"
"36",36,"10.1038_s41558-023-01696-3.pdf","turbek","yes","climate change; anthropogenic; introgression","multiple_temporal","increase","LD method in NeEstimator2","Past (1888-1909): 23.1-36.9; Present (1996-2015): 75.6-112.6",NA,NA,NA,NA,NA,NA,NA,NA,"turbek","yes","multiple_temporal","habitat loss; warming; climate change; anthropogenic","decrease; decrease in both inbreeding and runs of homozygosity ","F; Frosh","see notes structure","","Turbek","Yes","No","No","No","yes","increases in temperature; anthropogenic climate change","decrease","PCA","see doc","yes","multiple_spatial; multiple_temporal","climate change; anthropogenic","increase","D statistics via ABBA-BABA","(Table in other doc) D statistics revealed excess allele sharing between contemporary  San Diego and neighbouring populations in the Pacific northwest and desert southwest relative to populations in the interior west and east","turbek","yes","Are climate linked loci spatially shifting in response to climate change?","yes","multiple_temporal","climate change; anthropogenic","random forest; lfmm","yes",NA,NA,"turbek","no",NA,NA,NA,NA,NA,NA,NA,"Turbek","yes","multiple spatial","increases in temperature; anthropogenic climate change","spacetime","both","yes","see doc. ""While individuals sampled in San Diego in the late 1800s were more genetically distinct, allele frequencies in modern San raising concerns about climate-induced extinction16. Diego samples are now intermediate to those of the Pacific northwest To further explore evolutionary responses to climate change
in the southwestern willow flycatcher, we focus specifically on San
and desert southwest (Fig. 1b). Mean fixation index (FST) between the historical and contemporary San Diego populations was 0.06, com- Diego, California, where the number of willow flycatcher breeding
parable to FST estimates between historical San Diego and neighbour- territoriesisdecliningdespitewidespreadabundancebefore194017,18.
California has warmed by an average of 1.4 �C since 189519. Combined
ing contemporary populations in the Pacific northwest (0.06) and with an increase in the variability of precipitation patterns, this rise in
desert southwest (0.05). Mapping of the sequence data to the zebra finch (Taeniopygia guttata) genome revealed that the FST outlier loci temperature has led to the growing frequency and intensity of wildfires,
droughts and other extreme weather events19. Using whole-genome
(FST > 0.38; 99th percentile of FST divergence) between the historical and contemporary individuals from San Diego were scattered throughout sequencing (WGS) of 17 historical specimens, collected from 1888 to
the genome (Extended Data Fig. 1).""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1038/s41558-023-01696-3",2023,"NAT CLIM CHANGE",13,"7","NA NA wos","Turbek; SP; Bossu; C; Rayne; C; Gruppi; C; Kus; BE; Whitfield; M; Smith; TB; Paxton; EH; Bay; RA; Ruegg; KC","Turbek","","historical dna reveals climate adaptation in an endangered songbird","Generation time from https://www.fs.usda.gov/rm/pubs/rmrs_gtr060.pdf","article ","vertebrate","Empidonax traillii extimus","climate change; anthropogenic","WGS","historical","35","23","10.1038_s41558-023-01696-3.pdf","anthropogenic","anthropogenic"
"83",84,"10.1093_molbev_msae108.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wang","yes","multiple_spatial","domestication; selective breeding; anthropgenic","increase","Froh, LD decay","see notes document,","","Wang","Yes","No","No","No","no",NA,NA,NA,NA,"yes","multiple_spatial; multiple_temporal","captivity; domestication; anthropogenic","decrease","D statistics","(In doc) Compared to wolves from European Russia, half of both the fur samples (Ly1, Ly2, Ly3, and SM16271) and the Lapphund and Elkhound samples (FL (5 out of 6 samples), SL (3/4), LH (2/6), NE (2/5), and SE (1/4)) had a Z-score below −3.00, indicative of gene flow. Similar z-score values were obtained compared to Portuguese wolves, while compared to the Swedish wolves, only one fur sample (Ly3) had a Z-score below −3.00.","Wang","yes","what are the gentic origins of modern dog breeds and what changes to the genome have occurred from rapid evolution due to selective breeding","candidate gene list","multiple temporal","selective breeding","XP-EHH and Fst","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wang","yes","multiple spatial","selective breeding; anthropogenic factors","time","window","yes","see doc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,"Yes","wang","no",NA,NA,NA,NA,NA,"may","10.1093/molbev/msae108",2024,"MOL BIOL EVOL",41,"7","NA scopus wos","Wang S.-Z.; Yan Y.; Widlund M.; Qian C.-C.; Zhang L.-L.; Zhang S.-J.; Li Z.-M.; Cao P.; Dai Q.-Y.; Feng X.-T.; Liu F.; Wang L.; Gao C.; Fu Q.-M.; Hyt√∂nen M.K.; Lohi H.; Savolainen P.; Wang G.-D.","Wang","artificial selection; elkhound; genetic origin; historic dog fur; lapphund; population genomics","historic dog furs unravel the origin and artificial selection of modern nordic lapphund and elkhound dog breeds","","article ","vertebrate","canis f. familiaris","anthropogenic","WGS","historical","200","160","10.1093_molbev_msae108.pdf","anthropogenic","anthropogenic"
"108",109,"10.1111_1755-0998.13167.pdf","gauthier","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gauthier","yes","multiple_spatial","habitat fragmentation; inbreeding depression; pesticide; climate change; anthropogenic","decrese","Hs, Fis","see notes doc",NA,"Gauthier","Yes","Yes","No","No","yes","habitat loss; anthropogenic","increase","Rousset's Fst [Isolation by distance] and admixture","see doc","yes","multiple_spatial; multiple_temporal","population decline; anthropogenic","decrease","genetic differentiation between populations (FST/1 − FST) and the log-transformed geographical distance (log(distance))","(Figure in doc) In contrast, a more marked pattern of spatial structuring was retrieved in the IBD analysis, revealing a varying correlation between genetic and geographical distances over time (Figure 7). Before 1950, no correlation between genetic and geographical distances was found in any of the two species investigated. Between the 1950s and the 2000s, a significant correlation between genetic and geographical distances was found for E. embla.","gauthier","no",NA,NA,NA,NA,NA,NA,NA,NA,"gauthier","yes","multiple_temporal","habitat fragmentation; anthropogenic change","gene diversity; allele fixation","yes","Increase in fixed alleles and decreased in genetic diversity over 70 year period",NA,NA,"Gauthier","yes","multiple spatial","habitat loss, anthropogenic","spacetime","genomewide","no","see doc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,"Yes","gauthier","no",NA,NA,NA,NA,NA,"august","10.1111/1755-0998.13167",2020,"",NA,"","","Gauthier; Jeremy; Pajkovic; Mila; Neuenschwander; Samuel; Kaila; Lauri; Schmid; Sarah; Orlando; Ludovic; Alvarez; Nadir","Gauthier","","Museomics identifies genetic erosion in two butterfly species across the 20th century in Finland","","article","invertebrate","Butterflies; Erebia embala; Lycaena helle","anthropogenic","reduced representation","historical","106","50-100","10.1111_1755-0998.13167.pdf","anthropogenic","anthropogenic"
"109",110,"10.1111_1755-0998.13837.pdf","novo","yes","experimental","multiple_inferred","test of method for inferring historical Ne","GONE; census",NA,NA,NA,NA,NA,NA,NA,NA,NA,"novo","yes","multiple_temporal","bottleneck; experimental evolution",NA,"Ne",NA,"Yes","Novo","Yes","Yes","No","No","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"novo","no",NA,NA,NA,NA,NA,NA,NA,NA,"novo","no",NA,NA,NA,NA,NA,NA,"applications for drift but not estimating drift","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1111/1755-0998.13837",2023,"MOL ECOL RESOUR",23,"7","NA NA wos","Novo; I; P√©rez-Pereira; N; Santiago; E; Quesada; H; Caballero; A","Novo","effective population size; genetic drift; inbreeding; SNPs","an empirical test of the estimation of historical effective population size using drosophila melanogaster","","article","invertebrate","Drosophila melanogaster","experimental","WGS","experimental",NA,"15","10.1111_1755-0998.13837.pdf","experimental","experimental"
"110",111,"10.1111_cobi.13889.pdf","marshall","yes","reintroduction","multiple_temporal","increase","LD method in NeEstimator V2.1","spring 2014 24 [8.6-infinite]; autumn 2017 278 [102.7 - infinite]; autumn 2018 356 180.4-4713.8]; summer 2018/19 778 [387.7 - 36063.4]; wild-caught breeders 392.1 [73.7 - infinite]; single cohort F1 30.6 [26.7 - 35.1]; single cohort F2 12.3 [7.9 - 21.3]; spring 2015 infinite; autumn 2019 infinite",NA,NA,NA,NA,NA,NA,NA,NA,"marshall","yes","multiple_spatial","conservation breeding; reintroduction; anthropogenic","none; genome diversity and inbreeding maintained low levels","PCA, Fst, Inbreeding coefficent","see notes doc",NA,"Marshall","Yes","No","No","No","yes","reintroduction; in situ conservation; anthropogenic","no change","PCA, Fst, and admixture","see doc","yes","multiple_spatial; multiple_temporal","reintroduction; anthropogenic","increase","Admixture (Alexander et all 2009)","Accordingly, the Admixture results are consistent with historical admixture downstream but none in an upstream direction (Supporting Information), a hypothesis statistically inferred in an MDB-wide population genetic study of southern pygmy perch based on a larger sample (578 individuals and 45 localities) (Cole et al., 2016).","marshall","no",NA,NA,NA,NA,NA,NA,NA,NA,"marshall","no",NA,NA,NA,NA,NA,NA,NA,"Marshall","yes","multiple temporal","reinintroduction, in situ conservation; anthropogenic","","","no","see doc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,"No",NA,NA,NA,NA,NA,NA,NA,"august","10.1111/cobi.13889",2022,"",NA,"","","Marshall; Imogen R.; Brauer; Chris J.; Wedderburn; Scotte D.; Whiterod; Nick S.; Hammer; Michael P.; Barnes; Thomas C.; Attard; Catherine R. M.; Moeller; Luciana M.; Beheregaray; Luciano B.","Marshall","","Longitudinal monitoring of neutral and adaptive genomic diversity in a reintroduction","","article","vertebrate","Fish","anthropogenic","WGS","repeated","11","6.111111111","10.1111_cobi.13889.pdf","anthropogenic","anthropogenic"
"126",127,"10.1111_mec.16760.pdf","osborne","yes","captive breeding; anthropogenic","multiple_temporal","increase"," standard diversity measures (Nei's unbiased gene diversity [uHS], observed heterozygosity [HO] and allelic richness [AR]), variance genetically effective population size (NeV), and linkage disequilibrium effective population size (NeD).","",NA,NA,NA,NA,NA,NA,NA,NA,"osborne","yes","multiple_temporal","habitat destruction; anthropogenic","increase; only validated by one method, other did not detect inbreeding trend","see notes doc","see noted doc",NA,"Osborne","Yes","Yes","No","No","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"osborne","no",NA,NA,NA,NA,NA,NA,NA,NA,"osborne","no",NA,NA,NA,NA,NA,NA,"results imply drift in some years but not measured directly","Osborne","no",NA,NA,NA,NA,NA,NA,"osborne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,"No",NA,NA,NA,NA,NA,NA,NA,"august","10.1111/mec.16760",2023,"",NA,"","","Osborne M.J.; Caeiro-Dias G.; Turner T.F.","Osborne","","Transitioning from microsatellites to SNP-based microhaplotypes in genetic monitoring programmes: Lessons from paired data spanning 20 years","","article","vertebrate","Fish","natural evolution","reduced representation","repeated","19","19","10.1111_mec.16760.pdf","anthropogenic","anthropogenic"
"141",142,"10.1186_s12711-024-00900-y.pdf","somenzi","yes","domestication; anthropogenic","multiple_spatial",NA,"SneP; currentNe","see notes file",NA,NA,NA,NA,NA,NA,NA,NA,"somenzi","yes","multiple_temporal","anthropgenic; replacement of local with ""more productive"" cattle","increase; almost all measures of inbreeding (Froh and mean ROH) increased from 2000-2018","Mean ROH & Froh","see notes doc",NA,"Somenzi","Yes","No","No","No","yes","genetic management; anthropogenic factors","no change","PCA","see doc","yes","multiple_spatial; multiple_temporal","disease; population decline; anthropogenic","increase","Treemix","(Fig in doc) Consistent with these historical documents, our admixture analysis at K = 8 (Fig. 2), revealed a genetic component shared among a number of breeds from the Alps and the Po valley. This result is further supported by the Treemix results (Fig. 4), which indicate three gene flow events affecting the northern Italian cattle.","somenzi","yes","How did selection act on a unique Italian cattle breed?","milk and meat production, environmental adaptation, immune response","multiple_temporal","breeding; anthropogenic","EHH, decay of haplotype homozygosity as genetic distance increases","yes","","","somenzi","no",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1186/s12711-024-00900-y",2024,"GENET SEL EVOL",56,"1","NA scopus wos","Somenzi E.; Partel E.; Barbato M.; Chero Osorio A.M.; Colli L.; Franceschi N.; Mantovani R.; Pilla F.; Komjanc M.; Achilli A.; Hauffe H.C.; Ajmone Marsan P.","Somenzi","","genetic legacy and adaptive signatures: investigating the history; diversity; and selection signatures in rendena cattle resilient to eighteenth century rinderpest epidemics","","article","vertebrate","Bos primigenius","anthropogenic","reduced representation","historical","18","4.5","10.1186_s12711-024-00900-y.pdf","anthropogenic","anthropogenic"
"152",154,"10.1371_journal.pbio.3002333.pdf","shpak","yes","insecticide, anthropogenic","multiple_temporal","none","Bayesian","see notes file","shpak","yes","multiple_temporal","colonization; anthropogenic change","pi","decreased","pi 1800s: 0.00319; pi 1933 0.00260; pi 2010s 0.00234","Has caveats about decrease in diversity: damage in older samples could inflate diversity, and different methods used in modern samples could deflate diversity","shpak","yes","multiple_temporal","increased migration; increasing human activity; anthrogenic; natural evolution","increase; more inbreeding found","proportion of IBD","see notes doc","","Schpak","No","Yes","No","No","yes","range expansion and urbanization; anthropogenic factors","both","PCA and pairwise Fst","see doc",NA,NA,NA,NA,NA,NA,"Shpak","yes","What changes in genomic diversity can be tracked by comparing histroical to modern samples?","Several genes including those related to antiviral resistance & circadian ","multiple_tempotal","natural evolution; increasing human inpact","PBE","yes",NA,NA,"shpak","no",NA,NA,NA,NA,NA,NA,"talks a lot about drift but doesn�t seem to measure it directly","Schpak","yes","multiple temporal","range expansion and urbanization; anthropogenic factors","spacetime","both","yes","see doc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,"Yes","shpak","no",NA,NA,NA,NA,NA,"may","10.1371/journal.pbio.3002333",2023,"PLoS Biology",21,"10-Oct","NA scopus NA","Shpak M.; Ghanavi H.R.; Lange J.D.; Pool J.E.; Stensmyr M.C.","Shpak","","genomes from historical drosophila melanogaster specimens illuminate adaptive and demographic changes across more than 200 years of evolution","","article ","invertebrate","Drosophila melanogaster","natural evolution","WGS","historical","223","8505","10.1371_journal.pbio.3002333.pdf","anthropogenic","anthropogenic"
