"","X","File.Name","first_author_ep","measured_in_time_series_data_ep","hypothesized_driver_of_change_ep","level_of_analysis_ep","increase_decrease_ep","method.of.estimating_ep","raw.stats_ep","author_nd","measured_in_time_series_data_nd","level_of_analysis_nd","hypothesized_driver_of_change_nd","method_of_estimating_nd","increase_decrease_nd","raw_stats_nd","notes_nd","first_author_ib","measured_in_time_series_data_ib","level_of_analysis_ib","hypothesized_driver_of_change_ib","increase_decrease_ib","method_of_estimating_ib","raw_stats_ib","help_needed_ib","first_author_ps","population.structure._ps","genetic.structure._ps","spatial.structure._ps","genomic.structure._ps","measured_in_time_series_data_ps","hypothesized_driver_of_change_ps","increase_decrease_ps","method_of_estimating_ps","raw_stats_ps","measured_in_time_series_data_gf","level_of_analysis_gf","hypothesized_driver_of_change_gf","increase_decrease_gf","method_of_estimating_gf","raw_stats_gf","author_selection","measured_in_time_series_data_selection","central_question_regarding_selection_selection","outcome_of_central_question_selection","selection_level_of_analysis_selection","selection_hypothesized_driver_of_change_selection.x","selection_method_of_estimating_selection","selection_candidate_gene_list_selection","selection_coefficent_overall_selection","selection_coefficent_meanofoutliers_selection","first_author_last_name_drift","measured_in_time_series_data_drift","level_of_analysis_drift","hypothesized_driver_of_change_drift","method_of_estimating_drift","did_drift_have_effect_drift","raw_stats_drift","help_needed_drift","notes_drift","Author_fst","measured_in_time_series_data_fst","level_of_analysis_fst","hypothesized_diver_of_change_fst","spacetime_or_time_fst","sliding_window_vs_entire_genome_fst","candidate_gene_list_fst","raw_stats_fst","first_auhtor_tajima","measured_in_time_series_data_tajima","level_of_analysis_tajima","hypothesized_driver_of_change_tajima","sliding_window_vs_entire_genome_tajima","raw_stats_tajima","canidate_gene_tajima","help_needed_tajima","first_author_mc","measured_in_time_series_data_mc","level_of_anaylsis_mc","hypothesized_driver_of_change_mc","increase_decrease_mc","method_of_estimating_mc","raw_stats_mc","help_needed_mc","order_parallel","parallel._parallel","author_parallel","measured_in_time_series_data_parallel","evidence_of_parallel_evolution_parallel","snp_evidence_parallel","gene_protein_evidence_parallel","parallel_diversity.change_parallel","notes_parallel","collectedmonth_paperinfo","doi_paperinfo","year_paperinfo","journal_paperinfo","volume_paperinfo","issue_paperinfo","dbs_paperinfo","authors_paperinfo","first_author_paperinfo","keywords_paperinfo","Title_paperinfo","Notes_paperinfo","Type_paperinfo","Study.system_paperinfo","Taxon_paperinfo","Driver.of.change_paperinfo","Data.type_paperinfo","Experimental.design_paperinfo","Time.scale.years_paperinfo","Time.scale.generations_paperinfo","File.Name.1_paperinfo","revised","Driver.of.change.std_paperinfo"
"11",11,"10.1016_j.cub.2016.10.061.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"duggan","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"duggan","yes","single","natural evolution; vaccination (for later samples included in anaylsis not one that is specifically looked at in this paper)",NA,NA,NA,NA,12,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1016/j.cub.2016.10.061",2016,"Current Biology",26,"24","NA scopus NA","Duggan A.T.; Perdomo M.F.; Piombino-Mascali D.; Marciniak S.; Poinar D.; Emery M.V.; Buchmann J.P.; Duch√™ne S.; Jankauskas R.; Humphreys M.; Golding G.B.; Southon J.; Devault A.; Rouillard J.-M.; Sahl J.W.; Dutour O.; Hedman K.; Sajantila A.; Smith G.L.; Holmes E.C.; Poinar H.N.","Duggan","ancient DNA; evolution; Lithuanian Mummy Project; molecular clock; phylogeny; smallpox; variola virus","17th century variola virus reveals the recent history of smallpox","It's just one mummy but kind of cool; generation time 15 days https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2648660/","article","virus","Variola virus","host-pathogen","WGS","historical","324","7889.4","10.1016_j.cub.2016.10.061.pdf","host-pathogen","host-pathogen"
"12",12,"10.1016_j.cub.2023.01.064.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"eaton","yes","single","natural evolution",NA,"BETS","see notes doc",NA,13,"Yes","eaton","no",NA,NA,NA,NA,NA,"may","10.1016/j.cub.2023.01.064",2023,"Current Biology",33,"6","NA scopus NA","Eaton K.; Sidhu R.K.; Klunk J.; Gamble J.A.; Boldsen J.L.; Carmichael A.G.; Varlƒ±k N.; Duchene S.; Featherstone L.; Grimes V.; Golding G.B.; DeWitte S.N.; Holmes E.C.; Poinar H.N.","Eaton","ancient DNA; Black Death; phylogeography; plague; re-emerging infectious disease; Scandinavia; Yersinia pestis","emergence; continuity; and evolution of yersinia pestis throughout medieval and early modern denmark","","article","bacteria","Yersinia pestis","host-pathogen","WGS","historical","800","5,606,400","10.1016_j.cub.2023.01.064.pdf","host-pathogen","host-pathogen"
"15",15,"10.1016_j.envres.2023.115695.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tao","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"tao","yes","single","ambent pollutants; anthropogenic",NA,NA,NA,NA,16,"No",NA,NA,NA,NA,NA,NA,NA,"august","10.1016/j.envres.2023.115695",2023,"",NA,"","","Tao; Bilin; Li; Zhongqi; Wang; Yuting; Wu; Jizhou; Shi; Xinling; Shi; Jinyan; Liu; Qiao; Wang; Jianming","Tao","","Environment pollutants exposure affects the endogenous activation of within-host <i>Mycobacterium tuberculosis</i>","","article","bacteria","Tuberculosis","host-pathogen; anthropogenic","WGS","repeated","1 or 1.666666667","811.1112733","10.1016_j.envres.2023.115695.pdf","anthropogenic","anthropogenic"
"21",21,"10.1016_j.meegid.2019.03.016.pdf","arana","yes","competition","multiple_temporal","stable,decrease","Bayesian Skyride Plot","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"arana","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"arana","yes","single","natural_evolution",NA,"validated with tempEST","see notes doc",NA,22,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1016/j.meegid.2019.03.016",2019,"INFECT GENET EVOL",71,"","NA scopus wos","Arana A.; Jere K.C.; Chaguza C.; Montes M.; Alkorta M.; Iturriza-Gomara M.; Cilla G.","Arana","Acute gastroenteritis; G12 rotavirus; Rotavirus phylodynamics; Wa-like genetic backbone; Whole genome sequencing","molecular epidemiology of g12 rotavirus strains during eight consecutive epidemic seasons in the basque country (north of spain); 2010-2018","Feels kind of phylogeny oriented; can't find generation time","article","virus","G12 Rotavirus","host-pathogen","WGS","historical","8",NA,"10.1016_j.meegid.2019.03.016.pdf","host-pathogen","host-pathogen"
"44",44,"10.1038_s41586-021-03224-9.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"van der Valk","Yes","Yes","No","No","no",NA,NA,NA,NA,"yes","multiple_temporal","natural","increase","D statistics","(Table in doc) On the basis of f4 ratios, we estimate 10.7–12.7% excess shared ancestry between these genomes (Supplementary Section 9), consistent with a previous study15. Because the Columbian mammoth carries a large proportion of Krestovka ancestry, gene flow from the Columbian mammoth into North American woolly mammoths would have resulted in a larger proportion of allele-sharing between Krestovka and the Wyoming woolly mammoth.","van der Valk","no",NA,NA,NA,NA,NA,NA,NA,NA,"van der valk","yes","multiple_temporal","natural evolution","f(A|B) statistics; admixture modeling; f2 and f3 stats","yes","see word document",NA,"shared genetic drift varies among populations","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"van der valk","yes","single","natural_evolution",NA,"finate radiocarbon dates",NA,NA,46,"Yes","van der valk ","no",NA,NA,NA,NA,NA,"august","10.1038/s41586-021-03224-9",2021,"",NA,"","","van der Valk T.; Peƒçnerov√° P.; D√≠ez-del-Molino D.; Bergstr√∂m A.; Oppenheimer J.; Hartmann S.; Xenikoudakis G.; Thomas J.A.; Dehasque M.; Saƒülƒ±can E.; Fidan F.R.; Barnes I.; Liu S.; Somel M.; Heintzman P.D.; Nikolskiy P.; Shapiro B.; Skoglund P.; Hofreiter M.; Lister A.M.; G√∂therstr√∂m A.; Dal√©n L.","van","","Million-year-old DNA sheds light on the genomic history of mammoths","","article","vertebrate","Mammal","natural evolution","WGS","historical","780000","25161.29032","10.1038_s41586-021-03224-9.pdf","natural evolution","natural evolution"
"51",52,"10.1073_pnas.242608099.pdf","tanaka","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"tanaka","yes","single","natural_evolution",NA,"regression of pamilo-bianchi-li model ","see notes doc",NA,55,"No",NA,NA,NA,NA,NA,NA,NA,"august","10.1073/pnas.242608099",2002,"",NA,"","","Tanaka Y.; Hanada K.; Mizokami M.; Yeo A.E.T.; Shih J.W.-K.; Gojobori T.; Alter H.J.","Tanaka","","A comparison of the molecular clock of hepatitis C virus in the United States and Japan predicts that hepatocellular carcinoma incidence in the United States will increase over the next two decades","","article","virus","Hepatitis C","host-pathogen","WGS","repeated","7-21.6 or 15.1","#N/A","10.1073_pnas.242608099.pdf","host-pathogen","host-pathogen"
"70",71,"10.1093_infdis_jix298.pdf","folkvardsen","yes","epidemic","multiple_temporal","increase","BEAST, Bayesian Skygrid Plot","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"folkvardsen","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"folkvardsen","yes","single","outbreak; natural evolution",NA,"tempest, beast","see notes doc",NA,77,"No",NA,NA,NA,NA,NA,NA,NA,"august","10.1093/infdis/jix298",2017,"",NA,"","","Folkvardsen; Dorte Bek; Norman; Anders; Andersen; Ase Bengard; Rasmussen; Erik Michael; Jelsbak; Lars; Lillebaek; Troels","Folkvardsen","","Genomic Epidemiology of a Major <i>Mycobacterium tuberculosis</i> Outbreak: Retrospective Cohort Study in a Low-Incidence Setting Using Sparse Time-Series Sampling","","article","bacteria","Mycobacterium tuberculosis","host-pathogen","WGS","repeated","23","11193.33333","10.1093_infdis_jix298.pdf","host-pathogen","host-pathogen"
"134",135,"10.1128_JVI.02055-14.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"boyle","yes","How has bluetongue virus evolved in Northern Australia?","Largely purging selection, some regions experience positive selection","multiple_temporal","epidemic","MEME, SLAC, FEL, IFEL, REL, and FUBAR","yes",NA,NA,"boyle","no",NA,NA,NA,NA,NA,NA,"suggests drift is a factor but doesn't explicitly quantify it","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"boyle","yes","single","natural_evolution",NA,"path-o-gen used to investigate for clock-like-ness in molecular phylogenies",NA,NA,146,"No",NA,NA,NA,NA,NA,NA,NA,"august","10.1128/JVI.02055-14",2014,"",NA,"","","Boyle D.B.; Amos-Ritchie R.; Broz I.; Walker P.J.; Melville L.; Flanagan D.; Davis S.; Hunt N.; Weir R.","Boyle","","Evolution of bluetongue virus serotype 1 in northern Australia over 30 years","","article","virus","Bluetongue virus","host-pathogen","WGS","repeated","30 or 32","#N/A","10.1128_JVI.02055-14.pdf","host-pathogen","host-pathogen"
"139",140,"10.1128_spectrum.03128-23.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chaar","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"Chaar","yes","single","antibiotic; anthropogeinc","none; found no signature of clockness",NA,NA,NA,151,"No",NA,NA,NA,NA,NA,NA,NA,"august","10.1128/spectrum.03128-23",2024,"",NA,"","","Chaar M.E.; Khoury Y.; Douglas G.M.; Kazzi S.E.; Jisr T.; Soussi S.; Merhi G.; Moghnieh R.A.; Shapiro B.J.","Chaar","","Longitudinal genomic surveillance of multidrug-resistant Escherichia coli carriage in critical care patients","","article","bacteria","E coli","host-pathogen","WGS","repeated","0.5 or 0.020547945","540","10.1128_spectrum.03128-23.pdf","host-pathogen","host-pathogen"
"159",161,"10.1371_journal.ppat.1008298.pdf","pearson","yes","infection","multiple_temporal","increase; increase after infection then stabilize over 17 years","Bayesian Skygrid Plot","see notes file",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pearson","yes","Did selection drive a pathogen towards a commensal relationship?","No, trajectory was largely shaped by drift","multiple_temporal","host-pathogen","SLAC via HyPHY; Tajima's D","no","","","pearson","yes","multiple_temporal","host-pathogen","lineage diversity","yes","drift is predominant force in change over time",NA,NA,"","","","","","","","","pearson",NA,NA,NA,NA,NA,NA,NA,"pearson","yes","single","chronic infection; natural evolution",NA,"beast; steping stone analysis","see notes doc",NA,174,"Yes","pearson","no",NA,NA,NA,NA,NA,"august","10.1371/journal.ppat.1008298",2020,"",NA,"","","Pearson T.; Sahl J.W.; Hepp C.M.; Handady K.; Hornstra H.; Vazquez A.J.; Settles E.; Mayo M.; Kaestli M.; Williamson C.H.D.; Price E.P.; Sarovich D.S.; Cook J.M.; Wolken S.R.; Bowen R.A.; Tuanyok A.; Foster J.T.; Drees K.P.; Kidd T.J.; Bell S.C.; Currie B.J.; Keim P.","Pearson","","Pathogen to commensal? Longitudinal within-host population dynamics; evolution; and adaptation during a chronic >16-year Burkholderia pseudomallei infection","","article","bacteria","Burkholderia pseudomallei","host-pathogen","WGS","repeated","16","171624.4898","10.1371_journal.ppat.1008298.pdf","host-pathogen","host-pathogen"
