"","X","File.Name","first_author_ep","measured_in_time_series_data_ep","hypothesized_driver_of_change_ep","level_of_analysis_ep","increase_decrease_ep","method.of.estimating_ep","raw.stats_ep","author_nd","measured_in_time_series_data_nd","level_of_analysis_nd","hypothesized_driver_of_change_nd","method_of_estimating_nd","increase_decrease_nd","raw_stats_nd","notes_nd","first_author_ib","measured_in_time_series_data_ib","level_of_analysis_ib","hypothesized_driver_of_change_ib","increase_decrease_ib","method_of_estimating_ib","raw_stats_ib","help_needed_ib","first_author_ps","population.structure._ps","genetic.structure._ps","spatial.structure._ps","genomic.structure._ps","measured_in_time_series_data_ps","hypothesized_driver_of_change_ps","increase_decrease_ps","method_of_estimating_ps","raw_stats_ps","measured_in_time_series_data_gf","level_of_analysis_gf","hypothesized_driver_of_change_gf","increase_decrease_gf","method_of_estimating_gf","raw_stats_gf","author_selection","measured_in_time_series_data_selection","central_question_regarding_selection_selection","outcome_of_central_question_selection","selection_level_of_analysis_selection","selection_hypothesized_driver_of_change_selection.x","selection_method_of_estimating_selection","selection_candidate_gene_list_selection","selection_coefficent_overall_selection","selection_coefficent_meanofoutliers_selection","first_author_last_name_drift","measured_in_time_series_data_drift","level_of_analysis_drift","hypothesized_driver_of_change_drift","method_of_estimating_drift","did_drift_have_effect_drift","raw_stats_drift","help_needed_drift","notes_drift","Author_fst","measured_in_time_series_data_fst","level_of_analysis_fst","hypothesized_diver_of_change_fst","spacetime_or_time_fst","sliding_window_vs_entire_genome_fst","candidate_gene_list_fst","raw_stats_fst","first_auhtor_tajima","measured_in_time_series_data_tajima","level_of_analysis_tajima","hypothesized_driver_of_change_tajima","sliding_window_vs_entire_genome_tajima","raw_stats_tajima","canidate_gene_tajima","help_needed_tajima","first_author_mc","measured_in_time_series_data_mc","level_of_anaylsis_mc","hypothesized_driver_of_change_mc","increase_decrease_mc","method_of_estimating_mc","raw_stats_mc","help_needed_mc","order_parallel","parallel._parallel","author_parallel","measured_in_time_series_data_parallel","evidence_of_parallel_evolution_parallel","snp_evidence_parallel","gene_protein_evidence_parallel","parallel_diversity.change_parallel","notes_parallel","collectedmonth_paperinfo","doi_paperinfo","year_paperinfo","journal_paperinfo","volume_paperinfo","issue_paperinfo","dbs_paperinfo","authors_paperinfo","first_author_paperinfo","keywords_paperinfo","Title_paperinfo","Notes_paperinfo","Type_paperinfo","Study.system_paperinfo","Taxon_paperinfo","Driver.of.change_paperinfo","Data.type_paperinfo","Experimental.design_paperinfo","Time.scale.years_paperinfo","Time.scale.generations_paperinfo","File.Name.1_paperinfo","revised","Driver.of.change.std_paperinfo"
"3",3,"10.1002_ece3.4143.pdf","cammen","no",NA,NA,NA,NA,NA,"cammen","yes","multiple_temporal","recovery","snps","no change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cammen","Yes","Yes","No","No","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cammen","no",NA,NA,NA,NA,NA,NA,NA,NA,"cammen","no",NA,NA,NA,NA,NA,NA,NA,"Cammen","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Yes","cammen","yes","yes",NA,NA,NA,"no change in nucleotide diversity in two seals","may","10.1002/ece3.4143",2018,"ECOL EVOL",8,"13","NA NA wos","Cammen; KM; Schultz; TF; Bowen; WD; Hammill; MO; Puryear; WB; Runstadler; J; Wenzel; FW; Wood; SA; Kinnison; M","Cammen","approximate Bayesian computation; gray seal; harbor seal; restriction site-associated DNA sequencing","genomic signatures of population bottleneck and recovery in northwest atlantic pinnipeds","generation time calculated from doi.org/10.1111/j.1469-7998.1964.tb04631.x","article ","vertebrate","Halichoerus grypus atlantica & Phoca vitulina vitulina","natural evolution","reduced representation","historical","42","7","10.1002_ece3.4143.pdf","anthropogenic","anthropogenic"
"4",4,"10.1002_evl3.143.pdf",NA,NA,NA,NA,NA,NA,NA,"hoedjes","yes","multiple_temporal","reproductive age and diet; aging and life history","snps; pi","decreased","significant effect of age at reproduction on genome-wide pi: F1,18 =
11.2, P = 0.0036; significant interaction between diet and age of reproduction regeimes F2,18
= 4.3, P = 0.029; low diet and early breeders had lowest average pi LE-CE: P = 0.041, (2) LE-CP: P = 0.034, (3) LE-LP: P
= 0.006, (4) LE-HP: P = 0.005)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hoedjes","yes","How does selction on reproductive age and larval diet affect the evolution of longevity?","Selection for later reproductive age leads to evolution of longer lifespan; larval diet only affects lifespan in early-reproducing populations","multiple_temporal","reproductive age and diet during larval stage; experimental","glm","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","hoedjes","yes","multiple_spatial","post-poned reproduction; larval diet;experimental evolution","entire genome","see notes doc","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Yes","hoedjes","yes","yes","no","yes",NA,"candidate genes overlap with other studies; details figure 5","may","10.1002/evl3.143",2019,"Evolution Letters",3,"6","er","Hoedjes K.M.; van den Heuvel J.; Kapun M.; Keller L.; Flatt T.; Zwaan B.J.","Hoedjes","Adaptation; diet; longevity; reproduction; ‚Äúevolve and resequence‚Äù","distinct genomic signals of lifespan and life history evolution in response to postponed reproduction and larval diet in drosophila","","article ","invertebrate","Drosophila melanogaster","experimental","poolseq","experimental",NA,"40","10.1002_evl3.143.pdf","experimental","experimental"
"5",5,"10.1002_evl3.269.pdf",NA,NA,NA,NA,NA,NA,NA,"saleh","yes","multiple_temporal","warming; anthropogenic change","pi over windows","no change","pi _ 0.01205  across age cohorts; no loss of diversity over time",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"saleh","yes","Are sessile oak populations adapting in parallel to global climate change?","yes","multiple_temporal","climate change; anthropogenic","Buffalo and Coop 2019, 2020; temporal covariances of allelic frequency changes","yes",NA,NA,"saleh","no",NA,NA,NA,NA,NA,NA,NA,"Saleh","yes","multiple spatial","climate change; anthropogenic","spacetime","genomewide","no","see doc","saleh","yes","multiple_spatial","climate warming; climactic transitions; ","sliding window","see notes doc","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Yes","saleh","yes","yes","yes",NA,NA,"positive covariance in allele frequences of the forests between time periods ","may","10.1002/evl3.269",2022,"EVOL LETT",6,"1","NA NA wos","Saleh; D; Chen; J; Lepl√©; JC; Leroy; T; Truffaut; L; Dencausse; B; Lalanne; C; Labadie; K; Lesur; I; Bert; D; Lagane; F; Morneau; F; Aury; JM; Plomion; C; Lascoux; M; Kremer; A","Saleh","Anthropocene; evolution; linked selection; Little Ice Age; Quercus petraea","genome-wide evolutionary response of european oaks during the anthropocene","kind of weird contemporary sampling of very old and young trees; regeneration period given from 10-30 years; so I used 20 to calculate it","article ","plant","quercus petraea ","natural evolution","poolseq","repeated","340","17","10.1002_evl3.269.pdf","anthropogenic","anthropogenic"
"8",8,"10.1016_j.cell.2019.03.049.pdf","fages","no",NA,NA,NA,NA,NA,"fages","yes","multiple_temporal","selective breeding; domestication; anthropogenic","autosomal and y chromosome nucleotide diversity","decreased","most recent sample had a loss of between 9 and 29% nucelotide diversity compared to older samples, potential slight increase in diversity during Roman period with high demand for horses","data extracted from figure","fages","yes","multiple_temporal","domestication; selective breeding; anthropgenic","increase","calculations in paper","see notes doc",NA,"","No","No","No","No",NA,NA,NA,NA,NA,"yes","multiple_spatial; multiple_temporal","captivity; domestication; anthropogenic","decrease","momi2 contrasted evolutionary scenarios","Model B2 estimated gene flow from IBE to DOM2 to be 0.4%,and to have occurred 8,483ya.","fages","yes","Has the reduced population size of horses during domestication resulted in reduced purifying selection?; What genes experienced positive selection?","yes; candidate gene list including genes for development, gait","multiple_temporal","domestication","PBS","yes","","","fages","no",NA,NA,NA,NA,NA,NA,"they did calculate some sort of drift statistic but it's a giant pairwise heat map result ","Fages","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Yes","fages","no",NA,NA,NA,NA,NA,"august","10.1016/j.cell.2019.03.049",2019,"",NA,"","","Fages A.; Hangh√∏j K.; Khan N.; Gaunitz C.; Seguin-Orlando A.; Leonardi M.; McCrory Constantz C.; Gamba C.; Al-Rasheid K.A.S.; Albizuri S.; Alfarhan A.H.; Allentoft M.; Alquraishi S.; Anthony D.; Baimukhanov N.; Barrett J.H.; Bayarsaikhan J.; Benecke N.; Bern√°ldez-S√°nchez E.; Berrocal-Rangel L.; Biglari F.; Boessenkool S.; Boldgiv B.; Brem G.; Brown D.; Burger J.; Crub√©zy E.; Daugnora L.; Davoudi H.; de Barros Damgaard P.; de los √Ångeles de Chorro y de Villa-Ceballos M.; Deschler-Erb S.; Detry C.; Dill N.; do Mar Oom M.; Dohr A.; Ellingv√•g S.; Erdenebaatar D.; Fathi H.; Felkel S.; Fern√°ndez-Rodr√≠guez C.; Garc√≠a-Vi√±as E.; Germonpr√© M.; Granado J.D.; Hallsson J.H.; Hemmer H.; Hofreiter M.; Kasparov A.; Khasanov M.; Khazaeli R.; Kosintsev P.; Kristiansen K.; Kubatbek T.; Kuderna L.; Kuznetsov P.; Laleh H.; Leonard J.A.; Lhuillier J.; Liesau von Lettow-Vorbeck C.; Logvin A.; L√µugas L.; Ludwig A.; Luis C.; Arruda A.M.; Marques-Bonet T.; Matoso Silva R.; Merz V.; Mijiddorj E.; Miller B.K.; Monchalov O.; Mohaseb F.A.; Morales A.; Nieto-Espinet A.; Nistelberger H.; Onar V.; P√°lsd√≥ttir A.H.; Pitulko V.; Pitskhelauri K.; Pruvost M.; Rajic Sikanjic P.; Rapan Pape≈°a A.; Roslyakova N.; Sardari A.; Sauer E.; Schafberg R.; Scheu A.; Schibler J.; Schlumbaum A.; Serrand N.; Serres-Armero A.; Shapiro B.; Sheikhi Seno S.; Shevnina I.; Shidrang S.; Southon J.; Star B.; Sykes N.; Taheri K.; Taylor W.; Teegen W.-R.; Trbojeviƒá Vukiƒçeviƒá T.; Trixl S.; Tumen D.; Undrakhbold S.; Usmanova E.; Vahdati A.; Valenzuela-Lamas S.; Viegas C.; Wallner B.; Weinstock J.; Zaibert V.; Clavel B.; Lepetz S.; Mashkour M.; Helgason A.; Stef√°nsson K.; Barrey E.; Willerslev E.; Outram A.K.; Librado P.; Orlando L.","Fages","","Tracking Five Millennia of Horse Management with Extensive Ancient Genome Time Series","","article","vertebrate","Mammal","anthropogenic","WGS","historical","42669","5333.625","10.1016_j.cell.2019.03.049.pdf","anthropogenic","anthropogenic"
"23",23,"10.1016_j.meegid.2021.105184.pdf",NA,NA,NA,NA,NA,NA,NA,"chen","yes","multiple_temporal","host-pathogen","pairwise genetic distance of haplotypes","no change","diversity in one individual increased, but mostly stayed the same otherwise; pi ranged 0 to 0.013, with a median value of 0.004 ","see figure in notes document",NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chen","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chen","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chen",NA,NA,NA,NA,NA,NA,NA,24,"No",NA,NA,NA,NA,NA,NA,NA,"august","10.1016/j.meegid.2021.105184",2022,"",NA,"","","Chen Q.-Y.; Jia H.-H.; Wang X.-Y.; Shi Y.-L.; Zhang L.-J.; Hu L.-P.; Wang C.; He X.; Harrison T.J.; Jackson J.B.; Wu L.; Fang Z.-L.","Chen","","Analysis of entire hepatitis B virus genomes reveals reversion of mutations to wild type in natural infection; a 15 year follow-up study","","article","virus","Hepatitis B","host-pathogen","WGS","repeated","15","#N/A","10.1016_j.meegid.2021.105184.pdf","host-pathogen","host-pathogen"
"31",31,"10.1038_s41437-019-0264-5.pdf","Qian","yes","global warming; temperature; anthropogenic","single",NA,"Wright�Fisher ABC-based approach (WFABC)","> 1000","qian","yes","multiple_spatial","global warming;climate change",NA,"no change","focal genes: 1980s pi: 5.9 _ 10_4 to 1.3 _ 10_2; 2008 pi: 7.3 _ 10_4 to 1.6 _ 10_2; control genes: � ranging from 1.9 _ 10_4 to 1.1 _ 10_2 in the ancestral populations and from 4.3 _ 10_4 to 1.2 _ 10_2 in the descendant populations","NA, modern diversity slightly higher but not significant","Qian",NA,NA,NA,NA,NA,NA,NA,"Qian","Yes","Yes","No","No","yes","ecogeographical adaptation","increase","Fst","",NA,NA,NA,NA,NA,NA,"qian","yes","Have flower-time related genes in wild barley experienced positive selection compared to reference genes?","yes","multiple_temporal","climate change; anthropogenic","WFABC","yes","","","qian","yes","multiple_temporal","warming; climate change","allele frequency; simulation","no","0 simulations found fixed snps under drift alone",NA,NA,"Qian","yes","multiple temporal","ecogeographical adaptation","time","genomewide","yes","see doc. ""Moreover, BayeScan results showed that in the ancestral populations, the average values of FST were 0.382 and 0.381 for candi- date genes and reference genes, respectively, while in the descendant populations, the average values of FST were 0.469 and 0.462 for candidate genes and reference genes, respectively (Fig. 2b). Based on the t-test, the significantly higher average values of FST for both candidate loci and reference loci in the descendant populations than in the ancestral populations suggest that genetic differentiation had been significantly enhanced over the past 28 generations.""","qian","yes","multiple_temporal","global warming; climate change; anthropogenic","sliding window","see notes doc","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"Yes","qian","yes","yes","yes",NA,NA,"54 snps under selection, all fixed in descendent populations","may","10.1038/s41437-019-0264-5",2020,"HEREDITY",124,"1","NA NA wos","Qian; CJ; Yan; X; Shi; Y; Yin; HX; Chang; YX; Chen; J; Ingvarsson; PK; Nevo; E; Ma; XF","Qian","","adaptive signals of flowering time pathways in wild barley from israel over 28 generations","","article ","plant","hordeum spontaneum","natural evolution","reduced representation","repeated","28","28","10.1038_s41437-019-0264-5.pdf","anthropogenic","anthropogenic"
"40",40,"10.1038_s41559-022-01816-w.pdf","parrett","yes","sexual selection; experimental","single",NA,"poolseq R package","Population Ne
Fighter A 432.2
Fighter B 368.8
Fighter C 336.9
Fighter D 340.0
Scrambler A 453.2
Scrambler B 431.7
Scrambler C 483.6
Scrambler D 471.2","parrett","yes","multiple_spatial","sexual selection; experimental evolution","pi in various subsets of genome","decreased","see document","populations selected for the weapon had reduced autosomal diversity compared to those not selected for the weapon; no consistent patterns in sex chromosomes; see figure ","parrett","no",NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"parrett","yes","How did a cold snap affect genomic diversity in a non-biting midge population?","Increases purging selection","multiple_temporal","sexual selection","poolseq estimateSH","yes","","","parrett","no",NA,NA,NA,NA,NA,NA,"controlled for drift but not really a focal result","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1038/s41559-022-01816-w",2022,"Nature Ecology and Evolution",6,"9","er","Parrett J.M.; Chmielewski S.; Aydogdu E.; ≈Åukasiewicz A.; Rombauts S.; Szubert-Kruszy≈Ñska A.; Babik W.; Konczal M.; Radwan J.","Parrett","","genomic evidence that a sexually selected trait captures genome-wide variation and facilitates the purging of genetic load","3 part paper; starts with experimental evolution; then simulation; then natural evolution. Time scale years calculated with 10.1111/eva.12334","article","invertebrate","Eurytemora affinis","experimental","poolseq","experimental",NA,"10","10.1038_s41559-022-01816-w.pdf","experimental","experimental"
"57",58,"10.1093_gbe_evaa188.pdf","parejo","no",NA,NA,NA,NA,NA,"parejo","yes","multiple_temporal","commercial breeding; emerging disease; anthropogenic change","pi over windows","increased","modern pi: 0.00241, 95% CI 0.00240�0.00243 ; historic pi: 0.00227, 95% CI 0.00224�0.00230)","good example!","parejo",NA,NA,NA,NA,NA,NA,NA,"Parejo","Yes","Yes","No","No","yes","Apicultural practices; pesticide use, agricultural practices","no change","PCA, Fst, and admixture","See doc for PCA and admixture. Fst between museum and modern samples was 0.007, 95% CI 0.004-0.009",NA,NA,NA,NA,NA,NA,"Parejo","yes","What genes are experiencing selection in Swiss honey bee","Several genes are experiencig selection specifically related to xenobionics","multiple_temporal","pesticide; disease; change in agriculture; anthropogenic","XP-EHH & SNPeff","yes",NA,NA,"parejo","no",NA,NA,NA,NA,NA,NA,NA,"Parejo","yes","single","Apicultural practices; pesticide use, agricultural practices","time","genomewide","no","Fst between museum and modern samples was 0.007, 95% CI 0.004-0.009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1093/gbe/evaa188",2020,"GENOME BIOL EVOL",12,"12","NA NA wos","Parejo; M; Wragg; D; Henriques; D; Charri√®re; JD; Estonba; A","Parejo","Apis mellifera mellifera; museum genomics; genetic diversity; selection signatures; haplotype phasing; biodiversity","digging into the genomic past of swiss honey bees by whole-genome sequencing museum specimens","","article","invertebrate","Apis mellifera mellifera","natural evolution","WGS","historical","141","56","10.1093_gbe_evaa188.pdf","anthropogenic","anthropogenic"
"64",65,"10.1093_gbe_evad113.pdf","barata","yes","sexual selection; experimental","multiple_temporal","","poolseq R package","see notes file","barata","yes","multiple_temporal","breeding system; monogamy or polyandry; experimental evolution","pi over windows","decreased",NA,"decreased in both treatments; no real stats; see figure in word doc",NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"barata","yes","How does section act differenlty between a polyamorous and a monogamous population?","More pronounced variants in poly; bigger effect on X chrom in poly and on male sex linked chrom XR  ","multiple_spatial","sexual selection","BAIT-ER","yes","","","barata","yes","multiple_temporal","experimental evolution","effective population size","yes","lower effective population size in monogamous treatment suggests drift had stronger effect than in polyandrous lines",NA,NA,"","","","","","","","","barata","yes","multiple_temporal","sexual selection; experimental evolution","sliding window","see notes doc","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,70,"Yes","barata","no",NA,NA,NA,NA,NA,"august","10.1093/gbe/evad113",2023,"",NA,"","","Barata C.; Snook R.R.; Ritchie M.G.; Kosiol C.","Barata","","Selection on the Fly: Short-Term Adaptation to an Altered Sexual Selection Regime in Drosophila pseudoobscura","","article","invertebrate","Drosophila pseudoobscura","experimental","poolseq","experimental","#N/A","200","10.1093_gbe_evad113.pdf","experimental","experimental"
"66",67,"10.1093_gbe_evae114.pdf",NA,NA,NA,NA,NA,NA,NA,"larsson","yes","multiple_spatial","domestication","pairwise mismatch rate","decreased",NA,"Didn't use nucleotide diversity because of aDNA concerns; broadly finds genetic diversity decrease over time in sheep","larrsson",NA,NA,NA,NA,NA,NA,NA,"Larsson","Yes","No","No","No","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"larsson","no",NA,NA,NA,NA,NA,NA,NA,NA,"larsson","yes","multiple_temporal","natural evolution","f3 statistics","yes","see word document",NA,"shared genetic drift varies among populations","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,"Yes","larsson","no",NA,NA,NA,NA,NA,"may","10.1093/gbe/evae114",2024,"GENOME BIOL EVOL",16,"6","NA NA wos","Larsson; MNA; Miranda; PM; Pan; L; Vural; KB; Kaptan; D; Soares; AER; Kivikero; H; Kantanen; J; Somel; M; √ñzer; F; Johansson; AM; Stor√•; J; G√ºnther; T","Larsson","sheep; ancient DNA; Baltic; breeds; domestication","ancient sheep genomes reveal four millennia of north european short-tailed sheep in the baltic sea region","Assuming 3 year generation time from here https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8826587/","article","vertebrate","Ovis aires","domestication; anthropogenic","WGS","historical","4151","1383.666667","10.1093_gbe_evae114.pdf","anthropogenic","anthropogenic"
