order,File Name,parallel',author,measured_in_time_series_data,evidence_of_parallel_evolution,snp_evidence,gene_protein_evidence,parallel_diversity change,notes
1,10.1002_ece3.2402.pdf,Yes,nouhaud,no,NA,NA,NA,NA,NA
2,10.1002_ece3.3699.pdf,No,NA,NA,NA,NA,NA,NA,NA
3,10.1002_ece3.4143.pdf,Yes,cammen,yes,yes,NA,NA,NA,no change in nucleotide diversity in two seals
4,10.1002_evl3.143.pdf,Yes,hoedjes,yes,yes,no,yes,NA,candidate genes overlap with other studies; details figure 5
6,10.1002_evl3.269.pdf,Yes,saleh,yes,yes,yes,NA,NA,positive covariance in allele frequences of the forests between time periods 
7,10.1007_s00239-021-10008-2.pdf,Yes,hussain,no,NA,NA,NA,NA,NA
8,10.1007_s11262-016-1332-z.pdf,No,NA,NA,NA,NA,NA,NA,NA
9,10.1016_j.cell.2019.03.049.pdf,Yes,fages,no,NA,NA,NA,NA,NA
10,10.1016_j.chaos.2020.110018.pdf,No,NA,NA,NA,NA,NA,NA,NA
11,10.1016_j.cub.2015.08.032.pdf,Yes,der sarkissian ,no,NA,NA,NA,NA,NA
12,10.1016_j.cub.2016.10.061.pdf,No,NA,NA,NA,NA,NA,NA,NA
13,10.1016_j.cub.2023.01.064.pdf,Yes,eaton,no,NA,NA,NA,NA,NA
14,10.1016_j.cub.2023.03.084.pdf,Yes,diez-del-molino,no,NA,NA,NA,NA,NA
15,10.1016_j.cub.2024.01.056.pdf,Yes,laine,no,NA,NA,NA,NA,NA
16,10.1016_j.envres.2023.115695.pdf,No,NA,NA,NA,NA,NA,NA,NA
17,10.1016_j.jasrep.2020.102364.pdf,No,NA,NA,NA,NA,NA,NA,NA
18,10.1016_j.jfma.2018.01.019.pdf,Yes,gong,no,NA,NA,NA,NA,NA
19,10.1016_j.jgg.2020.10.002.pdf,Yes,xu,no,NA,NA,NA,NA,NA
20,10.1016_j.meegid.2013.03.035.pdf,Yes,borges,no,NA,NA,NA,NA,NA
21,10.1016_j.meegid.2015.02.023.pdf,No,NA,NA,NA,NA,NA,NA,NA
22,10.1016_j.meegid.2019.03.016.pdf,No,NA,NA,NA,NA,NA,NA,NA
23,10.1016_j.meegid.2021.105153.pdf,No,NA,NA,NA,NA,NA,NA,NA
24,10.1016_j.meegid.2021.105184.pdf,No,NA,NA,NA,NA,NA,NA,NA
25,10.1016_j.meegid.2024.105623.pdf,Yes,castiglioni,yes,no,no,NA,NA,metric suggests that there's little paralell genetic adaptation to phenotype but statistical support is not strong
26,10.1016_j.soilbio.2019.05.004.pdf,No,NA,NA,NA,NA,NA,NA,NA
27,10.1016_j.watres.2022.118556.pdf,No,NA,NA,NA,NA,NA,NA,NA
28,10.1016_j.ympev.2023.107822.pdf,No,NA,NA,NA,NA,NA,NA,NA
29,10.1021_acs.est.2c00793.pdf,No,NA,NA,NA,NA,NA,NA,NA
30,10.1038_ismej.2015.241.pdf,Yes,bendall,no,NA,NA,NA,NA,NA
31,10.1038_ncomms3172.pdf,Yes,martin,yes,yes,NA,yes,NA,Amino acid changes in AVR genes in multiple modern samples of potato blight suggest evolution of more virulence
32,10.1038_s41437-019-0264-5.pdf,Yes,qian,yes,yes,yes,NA,NA,"54 snps under selection, all fixed in descendent populations"
34,10.1038_s41467-021-21281-6.pdf,No,NA,NA,NA,NA,NA,NA,NA
35,10.1038_s41467-022-31622-8.pdf,Yes,stern,yes,yes,yes,NA,NA,79.4% of selected alleles shared between lines by the tenth generation of natural selection; suggested due to synergistic epistasis
36,10.1038_s41467-023-43391-z.pdf,No,NA,NA,NA,NA,NA,NA,NA
37,10.1038_s41477-019-0437-5.pdf,No,NA,NA,NA,NA,NA,NA,NA
38,10.1038_s41558-023-01696-3.pdf,No,NA,NA,NA,NA,NA,NA,NA
39,10.1038_s41559-019-0921-3.pdf,Yes,gutaker,no,NA,NA,NA,NA,NA
40,10.1038_s41559-020-1271-x.pdf,Yes,sanberg,no,NA,NA,NA,NA,NA
41,10.1038_s41559-022-01665-7.pdf,Yes,frei,no,NA,NA,NA,NA,NA
42,10.1038_s41559-022-01816-w.pdf,No,NA,NA,NA,NA,NA,NA,NA
43,10.1038_s41559-023-02114-9.pdf,Yes,ferraz,no,NA,NA,NA,NA,NA
44,10.1038_s41559-023-02185-8.pdf,Yes,sun,no,NA,NA,NA,NA,NA
45,10.1038_s41564-022-01157-1.pdf,No,NA,NA,NA,NA,NA,NA,NA
46,10.1038_s41586-021-03224-9.pdf,Yes,van der valk ,no,NA,NA,NA,NA,NA
47,10.1038_s41586-022-04824-9.pdf,Yes,bergstrom,no,NA,NA,NA,NA,NA
48,10.1038_s41591-019-0559-3.pdf,No,NA,NA,NA,NA,NA,NA,NA
49,10.1038_srep38915.pdf,No,NA,NA,NA,NA,NA,NA,NA
50,10.1073_pnas.1400378111.pdf,Yes,martins,yes,yes,yes,yes,NA,resistance to parasite in four replicate populations associated with changes in pst; potential role for epistasis
52,10.1073_pnas.1620410114.pdf,No,NA,NA,NA,NA,NA,NA,NA
53,10.1073_pnas.1714246115.pdf,No,NA,NA,NA,NA,NA,NA,NA
54,10.1073_pnas.2201521119.pdf,Yes,brennan,yes,partial,yes,NA,NA,treatment replicates had high convergent correlations; also find some changes that could be drift
55,10.1073_pnas.242608099.pdf,No,NA,NA,NA,NA,NA,NA,NA
56,10.1080_22221751.2022.2040921.pdf,No,NA,NA,NA,NA,NA,NA,NA
58,10.1093_evolut_qpad054.pdf,No,NA,NA,NA,NA,NA,NA,NA
59,10.1093_gbe_evaa036.pdf,Yes,burny,yes,no,no,NA,NA,two distinct haplotypes emerged in response to selection in different replicates
60,10.1093_gbe_evaa073.pdf,Yes,barghi,yes,NA,NA,NA,NA,simulations suggest paralellism lower in small popualtions due to drift; parallism also lower under model that assumes epistasis (interactions among genes)
61,10.1093_gbe_evaa178.pdf,Yes,maddamsetti,no,NA,NA,NA,NA,"about LTEE, not specific selective pressure"
62,10.1093_gbe_evaa188.pdf,No,NA,NA,NA,NA,NA,NA,NA
63,10.1093_gbe_evab070.pdf,No,NA,NA,NA,NA,NA,NA,NA
64,10.1093_gbe_evab154.pdf,No,NA,NA,NA,NA,NA,NA,NA
65,10.1093_gbe_evab237.pdf,No,NA,NA,NA,NA,NA,NA,NA
