first_author,File Name,population structure',genetic structure',spatial structure',genomic structure',measured_in_time_series_data,hypothesized_driver_of_change,increase_or_decrease,method_of_estimating,raw_stats
,10.1002_ece3.2402.pdf,No,Yes,No,No,NA,NA,NA,NA,NA
Schmid,10.1002_ece3.3699.pdf,Yes,Yes,No,No,yes,habitat loss to ariculture and urbanization; anthropogenic,none,"pairwise observed heterozygosity, pairwise expected heterozygoity, allelic richness, pairwise Fst (Weir and Cockerham)",see doc
Cammen,10.1002_ece3.4143.pdf,Yes,Yes,No,No,no,NA,NA,NA,NA
,10.1002_evl3.143.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1002_evl3.269.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1007_s00239-021-10008-2.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1007_s11262-016-1332-z.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.cell.2019.03.049.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.chaos.2020.110018.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.cub.2015.08.032.pdf,No,No,No,Yes,NA,NA,NA,NA,NA
,10.1016_j.cub.2016.10.061.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.cub.2023.01.064.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.cub.2023.03.084.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.cub.2024.01.056.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.envres.2023.115695.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.jasrep.2020.102364.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.jfma.2018.01.019.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.jgg.2020.10.002.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.meegid.2013.03.035.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.meegid.2015.02.023.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.meegid.2019.03.016.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.meegid.2021.105153.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.meegid.2021.105184.pdf,No,No,No,No,NA,NA,NA,NA,NA
Castiglioni,10.1016_j.meegid.2024.105623.pdf,No,Yes,No,No,no,NA,NA,NA,NA
,10.1016_j.soilbio.2019.05.004.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1016_j.watres.2022.118556.pdf,No,No,No,No,NA,NA,NA,NA,NA
Huynh,10.1016_j.ympev.2023.107822.pdf,Yes,No,No,No,no,NA,NA,NA,NA
,10.1021_acs.est.2c00793.pdf,No,No,No,No,NA,NA,NA,NA,NA
Bendall,10.1038_ismej.2015.241.pdf,Yes,No,No,No,no,NA,NA,NA,NA
,10.1038_ncomms3172.pdf,No,No,No,No,NA,NA,NA,NA,NA
Qian,10.1038_s41437-019-0264-5.pdf,Yes,Yes,No,No,yes,ecogeographical adaptation,increase,Fst,
Iranmehr,10.1038_s41467-021-21281-6.pdf,Yes,No,No,No,yes,changes in oxygen concentration,none,PCA,see doc
,10.1038_s41467-022-31622-8.pdf,No,No,No,No,NA,NA,NA,NA,NA
,10.1038_s41467-023-43391-z.pdf,No,No,No,No,NA,NA,NA,NA,NA
Ramos-Madrigal,10.1038_s41477-019-0437-5.pdf,Yes,Yes,No,No,no,NA,NA,NA,NA
Turbek,10.1038_s41558-023-01696-3.pdf,Yes,No,No,No,yes,increases in temperature; anthropogenic climate change,decrease,PCA,see doc
Gutaker,10.1038_s41559-019-0921-3.pdf,Yes,No,No,No,no,NA,NA,NA,NA
,10.1038_s41559-020-1271-x.pdf,No,No,No,No,NA,NA,NA,NA,NA
Frei,10.1038_s41559-022-01665-7.pdf,Yes,No,No,No,yes,Habitat diversity and water depth changes; anthropogenic eutrophication,decrease,"PCA, Fst, and admixture",
