"","X","File.Name","first_author_ep","measured_in_time_series_data_ep","hypothesized_driver_of_change_ep","level_of_analysis_ep","increase_decrease_ep","method.of.estimating_ep","raw.stats_ep","author_nd","measured_in_time_series_data_nd","level_of_analysis_nd","hypothesized_driver_of_change_nd","method_of_estimating_nd","increase_decrease_nd","raw_stats_nd","notes_nd","first_author_ib","measured_in_time_series_data_ib","level_of_analysis_ib","hypothesized_driver_of_change_ib","increase_decrease_ib","method_of_estimating_ib","raw_stats_ib","help_needed_ib","first_author_ps","population.structure._ps","genetic.structure._ps","spatial.structure._ps","genomic.structure._ps","measured_in_time_series_data_ps","hypothesized_driver_of_change_ps","increase_decrease_ps","method_of_estimating_ps","raw_stats_ps","measured_in_time_series_data_gf","level_of_analysis_gf","hypothesized_driver_of_change_gf","increase_decrease_gf","method_of_estimating_gf","raw_stats_gf","author_selection","measured_in_time_series_data_selection","central_question_regarding_selection_selection","outcome_of_central_question_selection","selection_level_of_analysis_selection","selection_hypothesized_driver_of_change_selection.x","selection_method_of_estimating_selection","selection_candidate_gene_list_selection","selection_coefficent_overall_selection","selection_coefficent_meanofoutliers_selection","first_author_last_name_drift","measured_in_time_series_data_drift","level_of_analysis_drift","hypothesized_driver_of_change_drift","method_of_estimating_drift","did_drift_have_effect_drift","raw_stats_drift","help_needed_drift","notes_drift","Author_fst","measured_in_time_series_data_fst","level_of_analysis_fst","hypothesized_diver_of_change_fst","spacetime_or_time_fst","sliding_window_vs_entire_genome_fst","candidate_gene_list_fst","raw_stats_fst","first_auhtor_tajima","measured_in_time_series_data_tajima","level_of_analysis_tajima","hypothesized_driver_of_change_tajima","sliding_window_vs_entire_genome_tajima","raw_stats_tajima","canidate_gene_tajima","help_needed_tajima","first_author_mc","measured_in_time_series_data_mc","level_of_anaylsis_mc","hypothesized_driver_of_change_mc","increase_decrease_mc","method_of_estimating_mc","raw_stats_mc","help_needed_mc","order_parallel","parallel._parallel","author_parallel","measured_in_time_series_data_parallel","evidence_of_parallel_evolution_parallel","snp_evidence_parallel","gene_protein_evidence_parallel","parallel_diversity.change_parallel","notes_parallel","collectedmonth_paperinfo","doi_paperinfo","year_paperinfo","journal_paperinfo","volume_paperinfo","issue_paperinfo","dbs_paperinfo","authors_paperinfo","first_author_paperinfo","keywords_paperinfo","Title_paperinfo","Notes_paperinfo","Type_paperinfo","Study.system_paperinfo","Taxon_paperinfo","Driver.of.change_paperinfo","Data.type_paperinfo","Experimental.design_paperinfo","Time.scale.years_paperinfo","Time.scale.generations_paperinfo","File.Name.1_paperinfo","revised","Driver.of.change.std_paperinfo"
"4",4,"10.1002_evl3.143.pdf",NA,NA,NA,NA,NA,NA,NA,"hoedjes","yes","multiple_temporal","reproductive age and diet; aging and life history","snps; pi","decreased","significant effect of age at reproduction on genome-wide pi: F1,18 =
11.2, P = 0.0036; significant interaction between diet and age of reproduction regeimes F2,18
= 4.3, P = 0.029; low diet and early breeders had lowest average pi LE-CE: P = 0.041, (2) LE-CP: P = 0.034, (3) LE-LP: P
= 0.006, (4) LE-HP: P = 0.005)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hoedjes","yes","How does selction on reproductive age and larval diet affect the evolution of longevity?","Selection for later reproductive age leads to evolution of longer lifespan; larval diet only affects lifespan in early-reproducing populations","multiple_temporal","reproductive age and diet during larval stage; experimental","glm","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","hoedjes","yes","multiple_spatial","post-poned reproduction; larval diet;experimental evolution","entire genome","see notes doc","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Yes","hoedjes","yes","yes","no","yes",NA,"candidate genes overlap with other studies; details figure 5","may","10.1002/evl3.143",2019,"Evolution Letters",3,"6","er","Hoedjes K.M.; van den Heuvel J.; Kapun M.; Keller L.; Flatt T.; Zwaan B.J.","Hoedjes","Adaptation; diet; longevity; reproduction; ‚Äö√Ñ√∫evolve and resequence‚Äö√Ñ√π","distinct genomic signals of lifespan and life history evolution in response to postponed reproduction and larval diet in drosophila","","article ","invertebrate","Drosophila melanogaster","experimental","poolseq","experimental",NA,"40","10.1002_evl3.143.pdf","experimental","experimental"
"5",5,"10.1002_evl3.269.pdf",NA,NA,NA,NA,NA,NA,NA,"saleh","yes","multiple_temporal","warming; anthropogenic change","pi over windows","no change","pi _ 0.01205  across age cohorts; no loss of diversity over time",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"saleh","yes","Are sessile oak populations adapting in parallel to global climate change?","yes","multiple_temporal","climate change; anthropogenic","Buffalo and Coop 2019, 2020; temporal covariances of allelic frequency changes","yes",NA,NA,"saleh","no",NA,NA,NA,NA,NA,NA,NA,"Saleh","yes","multiple spatial","climate change; anthropogenic","spacetime","genomewide","no","see doc","saleh","yes","multiple_spatial","climate warming; climactic transitions; ","sliding window","see notes doc","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Yes","saleh","yes","yes","yes",NA,NA,"positive covariance in allele frequences of the forests between time periods ","may","10.1002/evl3.269",2022,"EVOL LETT",6,"1","NA NA wos","Saleh; D; Chen; J; Lepl‚àö¬©; JC; Leroy; T; Truffaut; L; Dencausse; B; Lalanne; C; Labadie; K; Lesur; I; Bert; D; Lagane; F; Morneau; F; Aury; JM; Plomion; C; Lascoux; M; Kremer; A","Saleh","Anthropocene; evolution; linked selection; Little Ice Age; Quercus petraea","genome-wide evolutionary response of european oaks during the anthropocene","kind of weird contemporary sampling of very old and young trees; regeneration period given from 10-30 years; so I used 20 to calculate it","article ","plant","quercus petraea ","natural evolution","poolseq","repeated","340","17","10.1002_evl3.269.pdf","anthropogenic","anthropogenic"
"31",31,"10.1038_s41437-019-0264-5.pdf","Qian","yes","global warming; temperature; anthropogenic","single",NA,"Wright–Fisher ABC-based approach (WFABC)","> 1000","qian","yes","multiple_spatial","global warming;climate change",NA,"no change","focal genes: 1980s pi: 5.9 _ 10_4 to 1.3 _ 10_2; 2008 pi: 7.3 _ 10_4 to 1.6 _ 10_2; control genes: π ranging from 1.9 _ 10_4 to 1.1 _ 10_2 in the ancestral populations and from 4.3 _ 10_4 to 1.2 _ 10_2 in the descendant populations","NA, modern diversity slightly higher but not significant","Qian",NA,NA,NA,NA,NA,NA,NA,"Qian","Yes","Yes","No","No","yes","ecogeographical adaptation","increase","Fst","",NA,NA,NA,NA,NA,NA,"qian","yes","Have flower-time related genes in wild barley experienced positive selection compared to reference genes?","yes","multiple_temporal","climate change; anthropogenic","WFABC","yes","","","qian","yes","multiple_temporal","warming; climate change","allele frequency; simulation","no","0 simulations found fixed snps under drift alone",NA,NA,"Qian","yes","multiple temporal","ecogeographical adaptation","time","genomewide","yes","see doc. ""Moreover, BayeScan results showed that in the ancestral populations, the average values of FST were 0.382 and 0.381 for candi- date genes and reference genes, respectively, while in the descendant populations, the average values of FST were 0.469 and 0.462 for candidate genes and reference genes, respectively (Fig. 2b). Based on the t-test, the significantly higher average values of FST for both candidate loci and reference loci in the descendant populations than in the ancestral populations suggest that genetic differentiation had been significantly enhanced over the past 28 generations.""","qian","yes","multiple_temporal","global warming; climate change; anthropogenic","sliding window","see notes doc","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"Yes","qian","yes","yes","yes",NA,NA,"54 snps under selection, all fixed in descendent populations","may","10.1038/s41437-019-0264-5",2020,"HEREDITY",124,"1","NA NA wos","Qian; CJ; Yan; X; Shi; Y; Yin; HX; Chang; YX; Chen; J; Ingvarsson; PK; Nevo; E; Ma; XF","Qian","","adaptive signals of flowering time pathways in wild barley from israel over 28 generations","","article ","plant","hordeum spontaneum","natural evolution","reduced representation","repeated","28","28","10.1038_s41437-019-0264-5.pdf","anthropogenic","anthropogenic"
"37",37,"10.1038_s41559-019-0921-3.pdf",NA,NA,NA,NA,NA,NA,NA,"gutaker ","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gutaker","Yes","No","No","No","no",NA,NA,NA,NA,"yes","multiple_spatial; multiple_temporal","introduction; anthropogenic","increase","admixture graph framework model","the oldest EHS (collected 1650‚Äì1750) were found to have descended directly from an ancestor of Andean landraces. Within the next 100 years, potatoes in Europe admixed with newly introduced Chilean potatoes (Fig. 2d,e). In addition, twentieth-century European potatoes were found not to have descended directly from their nineteenth-century admixed predecessors, but rather to have received gene flow from  a wild potato species","gutaker","yes","How did potatos evole after being brought to Europe from Chile?","Selection on photoperiod genes; candidate gene list","multiple_temporal","globalization; farming; trade; novel environment; anthropogenic","loss of heterozygosity; tajima's d","yes","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","gutaker","yes","multiple_spatial","domestication; gloablization; anthropogenic","entire genome","see notes doc","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,39,"Yes","gutaker","no",NA,NA,NA,NA,NA,"may","10.1038/s41559-019-0921-3",2019,"NAT ECOL EVOL",3,"7","NA NA wos","Gutaker; RM; Weiss; CL; Ellis; D; Angling; NL; Knapp; S; Fernandez-Alonso; JL; Prats; S; Burbano; HA","Gutaker","","the origins and adaptation of european potatoes reconstructed from historical genomes","No idea how to calculate generation time","article","plant","Solanum tuberosum","revisit","WGS","historical","345",NA,"10.1038_s41559-019-0921-3.pdf","anthropogenic","anthropogenic"
"39",39,"10.1038_s41559-022-01665-7.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Frei","Yes","No","No","No","yes","Habitat diversity and water depth changes; anthropogenic eutrophication","decrease","PCA, Fst, and admixture","",NA,NA,NA,NA,NA,NA,"frei","yes","Do genes that experienced positive selection in one species more commonly introgress?","yes","multiple_temporal","eutrophication; pollution; anthropogenic","nSL","yes","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Frei","yes","single","Habitat diversity and water depth changes; anthropogenic eutrophication","time","genomewide","no","For SNPs pre=0.046(0.052) [n=7(18)], post=0.022 [n=14]. This whole part of the analysis is kind of suspect given the samples sizes.","frei","yes","multiple_spatial","speciation reversal; eutrophication; habitat degredation; climate change; anthropogenic","sliding window","see notes doc","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,41,"Yes","frei","no",NA,NA,NA,NA,NA,"may","10.1038/s41559-022-01665-7",2022,"NAT ECOL EVOL",6,"4","NA NA wos","Frei; D; De-Kayne; R; Selz; OM; Seehausen; O; Feulner; PGD","Frei","","genomic variation from an extinct species is retained in the extant radiation following speciation reversal","","article ","vertebrate","Coregonus gutturosus; C. arenicolus; C. wartmanni; C. macrophthalmus","climate change; anthropogenic","WGS","historical","80","16","10.1038_s41559-022-01665-7.pdf","anthropogenic","anthropogenic"
"50",51,"10.1073_pnas.2201521119.pdf","brennan","yes","ocean acidification; ocean warming; climate change; anthropogenic","single",NA,"poolseq R package","414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"brennan","yes","How has the copepod Acartia tonsa evolved in response to ocean warming and acidification?","candidate gene list","multiple_temporal","climate change; anthropogenic","temporal covariance-based method (cvtk)","yes","","","brennan","yes","multiple_temporal","warming and acidification; climate change","pairwise covariance in allele frequency change","yes","33-68% of shifts in allele frequencies due to drift; fig 3c and webplotdigitizer",NA,"good example for drift section","","","","","","","","","brennan","yes","single","ocean warming; acidification; anthropgenic","sliding window","(Tajimaís ?: 0.0148 ± 0.0004","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,54,"Yes","brennan","yes","partial","yes",NA,NA,"treatment replicates had high convergent correlations; also find some changes that could be drift","may","10.1073/pnas.2201521119",2022,"Proceedings of the National Academy of Sciences of the United States of America",119,"38","er","Brennan R.S.; deMayo J.A.; Dam H.G.; Finiguerra M.; Baumann H.; Buffalo V.; Pespeni M.H.","Brennan","evolve and resequence; global change adaptation; zooplankton evolution","experimental evolution reveals the synergistic genomic mechanisms of adaptation to ocean warming and acidification in a marine copepod","","article ","invertebrate","Acartia tonsa (temperature and acidification)","experimental","reduced representation","experimental","1","25","10.1073_pnas.2201521119.pdf","anthropogenic","anthropogenic"
"64",65,"10.1093_gbe_evad113.pdf","barata","yes","sexual selection; experimental","multiple_temporal","","poolseq R package","see notes file","barata","yes","multiple_temporal","breeding system; monogamy or polyandry; experimental evolution","pi over windows","decreased",NA,"decreased in both treatments; no real stats; see figure in word doc",NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"barata","yes","How does section act differenlty between a polyamorous and a monogamous population?","More pronounced variants in poly; bigger effect on X chrom in poly and on male sex linked chrom XR  ","multiple_spatial","sexual selection","BAIT-ER","yes","","","barata","yes","multiple_temporal","experimental evolution","effective population size","yes","lower effective population size in monogamous treatment suggests drift had stronger effect than in polyandrous lines",NA,NA,"","","","","","","","","barata","yes","multiple_temporal","sexual selection; experimental evolution","sliding window","see notes doc","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,70,"Yes","barata","no",NA,NA,NA,NA,NA,"august","10.1093/gbe/evad113",2023,"",NA,"","","Barata C.; Snook R.R.; Ritchie M.G.; Kosiol C.","Barata","","Selection on the Fly: Short-Term Adaptation to an Altered Sexual Selection Regime in Drosophila pseudoobscura","","article","invertebrate","Drosophila pseudoobscura","experimental","poolseq","experimental","#N/A","200","10.1093_gbe_evad113.pdf","experimental","experimental"
"71",72,"10.1093_jeb_voae068.pdf",NA,NA,NA,NA,NA,NA,NA,"parvizi","yes","multiple_spatial","insecticide","Watterson’s theta; Tajima’s estimator, _π)","decreased then increased","see document","diversity decreased from the 1950s through the 60s and 70s when effects of insecticide were highest; increased since 70s",NA,NA,NA,NA,NA,NA,NA,NA,"Parvizi","Yes","Yes","No","Yes","yes","pesticide use","no change","PCA, Fst, and admixture","see doc",NA,NA,NA,NA,NA,NA,"Parvizi","yes","What are the patterns of selection in Helicoverpa armigera in response to repeated insecticide use","Found alternating trajectories of allele freq over time","multiple_temporal","insecticide; anthropology","allele freq, fst, MAF ratios","yes (gene families)",NA,NA,"parvizi","yes","multiple_temporal","insecticide resistance","genetic diversity","yes","reduction in genetic diversity in decades with highest impact of insecticides",NA,NA,"Parvizi","yes","multiple temporal","pesticide use","time","genomewide","yes","see doc","parvizi","yes","multiple_temporal","insecticide; agriculture change; anthropogenic ","entire genome","see notes doc","no","Not entirely sure about entire genome v sliding window",NA,NA,NA,NA,NA,NA,NA,NA,78,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1093/jeb/voae068",2024,"J EVOLUTION BIOL",37,"8","NA NA wos","Parvizi; E; Bachler; A; Zwick; A; Walsh; TK; Moritz; C; McGaughran; A","Parvizi","cotton bollworm; genetic drift; insecticide resistance; museum genomics; selection","historical museum samples reveal signals of selection and drift in response to changing insecticide use in an agricultural pest moth","","article ","invertebrate","Helicoverpa armigera","anthropogenic","reduced representation","historical","92","576","10.1093_jeb_voae068.pdf","anthropogenic","anthropogenic"
"114",115,"10.1111_gcb.17126.pdf","benham","yes","habitat loss; urbanization; anthropogenic","multiple_inferred","decrease; potenial for slight expansion in Bay Area, compared 3 populations and models from historic and moden samples, varying patterns","GADMA2",NA,"benham","yes","multiple_spatial","habitat loss","pi","decreased; no change","change in pi  from historic to now across pops: -0.0000102, -0.0000582, -0.0000207, 3.9E-06, 0.0000138","also calculated watterson's theta; data extracted from fig. s5 with web plot digitizer focusing on subsampled comparison","benham",NA,NA,NA,NA,NA,NA,NA,"Benham","Yes","No","No","No","yes","coastal habitat loss; urbanization, agriculture, and mining; anthropogenic","decrease","PCA and admixture","see doc","yes","multiple_spatial; multiple_temporal","habitat loss; popluation decline; anthropogenic","increase","DyStruct (similar to Admixture)","temporal variation in population structure, with modern birds from the central and northern California	coast	exhibiting	a	17%	(Morro	Bay)	to	64%	(Humboldt	Bay)	increase in the proportion of ancestry shared with inland eastern California birds. These temporal changes point to a recent increase in the level of gene flow from inland eastern California populations into coastal populations.","benham","yes","Do alleles associated with local adaptation to tidal marshes resist gene flow from inland populations? / does selection prevent gene flow?","no","multiple_temporal","gene flow resulting from urbanization; anthropogenic","test for correlation between historical deviation in allele frequency and change in allele frequency through time for each SNP","",NA,NA,"benham","yes","multiple_temporal","habitat destruction; anthropogenic","allele frequency change","no","found gene flow more likely driver of results than drift",NA,NA,"Benham","yes","multiple spatial","coastal habitat loss; urbanization, agriculture, and mining; anthropogenic","spacetime","both","","see doc","benham","yes","multiple_spatial","habitat degredation; anthropogenic","sliding window","see notes doc","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,123,"Yes","benham","no",NA,NA,NA,NA,NA,"august","10.1111/gcb.17126",2024,"",NA,"","","Benham; Phred M.; Walsh; Jennifer; Bowie; Rauri C. K.","Benham","","Spatial variation in population genomic responses to over a century of anthropogenic change within a tidal marsh songbird","","article","vertebrate","Bird","anthropogenic","reduced representation","historical","128","48","10.1111_gcb.17126.pdf","anthropogenic","anthropogenic"
"119",120,"10.1111_mec.13615.pdf",NA,NA,NA,NA,NA,NA,NA,"franks","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Franks","Yes","No","No","No","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"franks","yes","Evolution of Brassica rapa in response to drought","candidate gene list","multiple_temporal","drought","fst; tajima's d","yes",NA,NA,"franks","no",NA,NA,NA,NA,NA,NA,"acknowledges that drift may have played a roll but doesn't say how much ","Franks","yes","multiple spatial","drought; climate change","spacetime","both","yes","see doc","franks","yes","multiple_spatial","drought; climate change; anthropogenic","sliding window","see notes doc","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,128,"Yes","franks","yes","no","no","no",NA,"Allele frequencies did not shift in parallel between the two populations for these 11 genes more than expected by chance (Pearson correlation r = 0.03, P = 0.85; Fig. 3b). ; few parallel genes under selection","may","10.1111/mec.13615",2016,"MOL ECOL",25,"15","NA scopus wos","Franks S.J.; Kane N.C.; O'Hara N.B.; Tittes S.; Rest J.S.","Franks","adaptation; Brassica rapa; climate change; contemporary evolution; natural selection; population genomics; rapid evolution","rapid genome-wide evolution in brassica rapa populations following drought revealed by sequencing of ancestral and descendant gene pools","generation time 24 days from 10.1111/j.1558-5646.1995.tb04439.x","article","plant","brassica rapa","natural evolution","poolseq","historical","7","106.45","10.1111_mec.13615.pdf","anthropogenic","anthropogenic"
