pdf,hypothesized_driver_of_change,denovo_or_derivedlist,confirmed_yn,gene_name,IMG Gene ID,IMG Locus Tag ,ensembl,Brapa gene name,ENSGMOG,Globodera pallida,Globodera rostochienis
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,a,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,abo,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,al,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Appl,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,capu,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Pkg21D,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Dl,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,ds,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,dsx,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,e,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,eag,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,for,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,fz,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Grd,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,in,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,inv,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,ix,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,egh,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,robo2,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Lsp1beta,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Atpalpha,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,pip,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,pk,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,pum,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,pwn,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,px,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,RpI135,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,ru,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,rut,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,S,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,shn,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,smo,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,so,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,tkv,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Tm1,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,snRNA:U1:21D,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Ubx,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,ush,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Wnt2,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Pep,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,ex,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Plc21C,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,fru,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,cdi,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Sam-S,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,lola,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Ets21C,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,lbl,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,dap,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Gsc,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Sdc,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,dock,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,ppan,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Klp3A,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,E2f1,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,nmo,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Ret,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Ptth,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,TpnC41C,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Dhc93AB,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Calx,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Septin 2,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,dare,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,Dot,NA,NA,NA,NA,NA,NA,
10.1002_evl3.143.pdf,developmental_diet,denovo,NA,NetA,NA,NA,NA,NA,NA,NA,
