"","File.Name","X.1_ps","first_author","population.structure.","genetic.structure.","spatial.structure.","genomic.structure.","measured_in_time_series_data_ps","hypothesized_driver_of_change_ps","increase_decrease_ps","method_of_estimating_ps","raw_stats_ps","X_ps","doi_ps","year_ps","authors_ps","first_author.y_ps","keywords_ps","Title_ps","Notes_ps","Study.system_ps","Taxon_ps","Driver.of.change_ps","Data.type_ps","Experimental.design_ps","Time.scale.years_ps","Time.scale.generations_ps","Driver.of.change.std_ps","driver_ps","X_nd","X.nucleotide.diversity.","author","measured_in_time_series_data_nd","level_of_analysis","hypothesized_driver_of_change_nd","method_of_estimating_nd","increase_decrease_nd","raw_stats_nd","notes","X.x","X.1_nd","X.y","doi_nd","year_nd","authors_nd","first_author.y_nd","keywords_nd","Title_nd","Notes_nd","Study.system_nd","Taxon_nd","Driver.of.change_nd","Data.type_nd","Experimental.design_nd","Time.scale.years_nd","Time.scale.generations_nd","Driver.of.change.std_nd","increased_decreased_simple","driver_nd","X.1","X0","X.effective.population.","first_author_ep","measured_in_time.series_data","hypothesized_driver_of_change","level_of_analysis_ep","increase_decrease_ep","method.of.estimating","raw.stats","X","doi","year","authors","first_author.y","keywords","Title","Notes","Study.system","Taxon","Driver.of.change","Data.type","Experimental.design","Time.scale.years","Time.scale.generations","Driver.of.change.std","driver_ep","X.1_gf","X.gene.flow.","measured_in_time_series_data","level_of_analysis_gf","hypothesized_driver_of_change_gf","increase_decrease_gf","method_of_estimating","raw_stats","X_gf","doi_gf","year_gf","authors_gf","first_author.y_gf","keywords_gf","Title_gf","Notes_gf","Study.system_gf","Taxon_gf","Driver.of.change_gf","Data.type_gf","Experimental.design_gf","Time.scale.years_gf","Time.scale.generations_gf","Driver.of.change.std_gf","driver_gf","X_ib","include","first_author_ib","measure_in_time_series_data","level_of_analysis_ib","hypothesized_driver_of_change_ib","increase_decrease_ib","method_of_estimating_ib","raw_stats_ib","help_needed","X.x_ib","X.1_ib","X.y_ib","doi_ib","year_ib","authors_ib","first_author.y_ib","keywords_ib","Title_ib","Notes_ib","Study.system_ib","Taxon_ib","Driver.of.change_ib","Data.type_ib","Experimental.design_ib","Time.scale.years_ib","Time.scale.generations_ib","Driver.of.change.std_ib","driver_ib"
"1","10.1002_ece3.3699.pdf",1,"Schmid","Yes","Yes","No","No","yes","habitat loss to ariculture and urbanization; anthropogenic","no change","pairwise observed heterozygosity, pairwise expected heterozygoity, allelic richness, pairwise Fst (Weir and Cockerham)","see doc",2,"10.1002/ece3.3699",2018,"Schmid; S; Neuenschwander; S; Pitteloud; C; Heckel; G; Pajkovic; M; Arlettaz; R; Alvarez; N","Schmid","conservation genetics; hybridization capture RAD; phylogeography; population genetics","spatial and temporal genetic dynamics of the grasshopper oedaleus decorus revealed by museum genomics","","invertebrate","Oedaleus decorus","land use; anthropogenic","WGS","historical","140","","anthropogenic","anthropogenic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","10.1002_evl3.143.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Yes","hoedjes","yes","multiple_temporal","reproductive age and diet; aging and life history","snps; pi","decreased","significant effect of age at reproduction on genome-wide pi: F1,18 =
11.2, P = 0.0036; significant interaction between diet and age of reproduction regeimes F2,18
= 4.3, P = 0.029; low diet and early breeders had lowest average pi LE-CE: P = 0.041, (2) LE-CP: P = 0.034, (3) LE-LP: P
= 0.006, (4) LE-HP: P = 0.005)",NA,NA,NA,4,"10.1002/evl3.143",2019,"Hoedjes K.M.; van den Heuvel J.; Kapun M.; Keller L.; Flatt T.; Zwaan B.J.","Hoedjes","Adaptation; diet; longevity; reproduction; ‚Äúevolve and resequence‚Äù","distinct genomic signals of lifespan and life history evolution in response to postponed reproduction and larval diet in drosophila","","invertebrate","Drosophila melanogaster","experimental","poolseq","experimental",NA,"40","experimental","decreased","experimental",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","10.1002_evl3.269.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Yes","saleh","yes","multiple_temporal","warming; anthropogenic change","pi over windows","no change","� _ 0.01205  across age cohorts; no loss of diversity over time",NA,NA,NA,5,"10.1002/evl3.269",2022,"Saleh; D; Chen; J; Lepl√©; JC; Leroy; T; Truffaut; L; Dencausse; B; Lalanne; C; Labadie; K; Lesur; I; Bert; D; Lagane; F; Morneau; F; Aury; JM; Plomion; C; Lascoux; M; Kremer; A","Saleh","Anthropocene; evolution; linked selection; Little Ice Age; Quercus petraea","genome-wide evolutionary response of european oaks during the anthropocene","kind of weird contemporary sampling of very old and young trees; regeneration period given from 10-30 years; so I used 20 to calculate it","plant","quercus petraea ","natural evolution","poolseq","repeated","340","17","natural evolution",NA,"anthropogenic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","10.1016_j.cell.2019.03.049.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Yes","fages","yes","multiple_temporal","selective breeding; domestication; anthropogenic","autosomal and y chromosome nucleotide diversity","decreased","most recent sample had a loss of between 9 and 29% nucelotide diversity compared to older samples, potential slight increase in diversity during Roman period with high demand for horses","data extracted from figure",NA,NA,8,"10.1016/j.cell.2019.03.049",2019,"Fages A.; Hangh√∏j K.; Khan N.; Gaunitz C.; Seguin-Orlando A.; Leonardi M.; McCrory Constantz C.; Gamba C.; Al-Rasheid K.A.S.; Albizuri S.; Alfarhan A.H.; Allentoft M.; Alquraishi S.; Anthony D.; Baimukhanov N.; Barrett J.H.; Bayarsaikhan J.; Benecke N.; Bern√°ldez-S√°nchez E.; Berrocal-Rangel L.; Biglari F.; Boessenkool S.; Boldgiv B.; Brem G.; Brown D.; Burger J.; Crub√©zy E.; Daugnora L.; Davoudi H.; de Barros Damgaard P.; de los √Ångeles de Chorro y de Villa-Ceballos M.; Deschler-Erb S.; Detry C.; Dill N.; do Mar Oom M.; Dohr A.; Ellingv√•g S.; Erdenebaatar D.; Fathi H.; Felkel S.; Fern√°ndez-Rodr√≠guez C.; Garc√≠a-Vi√±as E.; Germonpr√© M.; Granado J.D.; Hallsson J.H.; Hemmer H.; Hofreiter M.; Kasparov A.; Khasanov M.; Khazaeli R.; Kosintsev P.; Kristiansen K.; Kubatbek T.; Kuderna L.; Kuznetsov P.; Laleh H.; Leonard J.A.; Lhuillier J.; Liesau von Lettow-Vorbeck C.; Logvin A.; L√µugas L.; Ludwig A.; Luis C.; Arruda A.M.; Marques-Bonet T.; Matoso Silva R.; Merz V.; Mijiddorj E.; Miller B.K.; Monchalov O.; Mohaseb F.A.; Morales A.; Nieto-Espinet A.; Nistelberger H.; Onar V.; P√°lsd√≥ttir A.H.; Pitulko V.; Pitskhelauri K.; Pruvost M.; Rajic Sikanjic P.; Rapan Pape≈°a A.; Roslyakova N.; Sardari A.; Sauer E.; Schafberg R.; Scheu A.; Schibler J.; Schlumbaum A.; Serrand N.; Serres-Armero A.; Shapiro B.; Sheikhi Seno S.; Shevnina I.; Shidrang S.; Southon J.; Star B.; Sykes N.; Taheri K.; Taylor W.; Teegen W.-R.; Trbojeviƒá Vukiƒçeviƒá T.; Trixl S.; Tumen D.; Undrakhbold S.; Usmanova E.; Vahdati A.; Valenzuela-Lamas S.; Viegas C.; Wallner B.; Weinstock J.; Zaibert V.; Clavel B.; Lepetz S.; Mashkour M.; Helgason A.; Stef√°nsson K.; Barrey E.; Willerslev E.; Outram A.K.; Librado P.; Orlando L.","Fages","","Tracking Five Millennia of Horse Management with Extensive Ancient Genome Time Series","","vertebrate","Mammal","anthropogenic","WGS","historical","42669","5333.625","anthropogenic","decreased","anthropogenic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Yes","yes","multiple_spatial; multiple_temporal","captivity; domestication; anthropogenic","decrease","momi2 contrasted evolutionary scenarios","Model B2 estimated gene flow from IBE to DOM2 to be 0.4%,and to have occurred 8,483ya.",8,"10.1016/j.cell.2019.03.049",2019,"Fages A.; Hangh√∏j K.; Khan N.; Gaunitz C.; Seguin-Orlando A.; Leonardi M.; McCrory Constantz C.; Gamba C.; Al-Rasheid K.A.S.; Albizuri S.; Alfarhan A.H.; Allentoft M.; Alquraishi S.; Anthony D.; Baimukhanov N.; Barrett J.H.; Bayarsaikhan J.; Benecke N.; Bern√°ldez-S√°nchez E.; Berrocal-Rangel L.; Biglari F.; Boessenkool S.; Boldgiv B.; Brem G.; Brown D.; Burger J.; Crub√©zy E.; Daugnora L.; Davoudi H.; de Barros Damgaard P.; de los √Ångeles de Chorro y de Villa-Ceballos M.; Deschler-Erb S.; Detry C.; Dill N.; do Mar Oom M.; Dohr A.; Ellingv√•g S.; Erdenebaatar D.; Fathi H.; Felkel S.; Fern√°ndez-Rodr√≠guez C.; Garc√≠a-Vi√±as E.; Germonpr√© M.; Granado J.D.; Hallsson J.H.; Hemmer H.; Hofreiter M.; Kasparov A.; Khasanov M.; Khazaeli R.; Kosintsev P.; Kristiansen K.; Kubatbek T.; Kuderna L.; Kuznetsov P.; Laleh H.; Leonard J.A.; Lhuillier J.; Liesau von Lettow-Vorbeck C.; Logvin A.; L√µugas L.; Ludwig A.; Luis C.; Arruda A.M.; Marques-Bonet T.; Matoso Silva R.; Merz V.; Mijiddorj E.; Miller B.K.; Monchalov O.; Mohaseb F.A.; Morales A.; Nieto-Espinet A.; Nistelberger H.; Onar V.; P√°lsd√≥ttir A.H.; Pitulko V.; Pitskhelauri K.; Pruvost M.; Rajic Sikanjic P.; Rapan Pape≈°a A.; Roslyakova N.; Sardari A.; Sauer E.; Schafberg R.; Scheu A.; Schibler J.; Schlumbaum A.; Serrand N.; Serres-Armero A.; Shapiro B.; Sheikhi Seno S.; Shevnina I.; Shidrang S.; Southon J.; Star B.; Sykes N.; Taheri K.; Taylor W.; Teegen W.-R.; Trbojeviƒá Vukiƒçeviƒá T.; Trixl S.; Tumen D.; Undrakhbold S.; Usmanova E.; Vahdati A.; Valenzuela-Lamas S.; Viegas C.; Wallner B.; Weinstock J.; Zaibert V.; Clavel B.; Lepetz S.; Mashkour M.; Helgason A.; Stef√°nsson K.; Barrey E.; Willerslev E.; Outram A.K.; Librado P.; Orlando L.","Fages","","Tracking Five Millennia of Horse Management with Extensive Ancient Genome Time Series","","vertebrate","Mammal","anthropogenic","WGS","historical","42669","5333.625","anthropogenic","anthropogenic",1,"Yes","fages","yes","multiple_temporal","domestication; selective breeding; anthropgenic","increase","calculations in paper","see notes doc",NA,"refers to genetic load as a proxy for inbreeding ",NA,8,"10.1016/j.cell.2019.03.049",2019,"Fages A.; Hangh√∏j K.; Khan N.; Gaunitz C.; Seguin-Orlando A.; Leonardi M.; McCrory Constantz C.; Gamba C.; Al-Rasheid K.A.S.; Albizuri S.; Alfarhan A.H.; Allentoft M.; Alquraishi S.; Anthony D.; Baimukhanov N.; Barrett J.H.; Bayarsaikhan J.; Benecke N.; Bern√°ldez-S√°nchez E.; Berrocal-Rangel L.; Biglari F.; Boessenkool S.; Boldgiv B.; Brem G.; Brown D.; Burger J.; Crub√©zy E.; Daugnora L.; Davoudi H.; de Barros Damgaard P.; de los √Ångeles de Chorro y de Villa-Ceballos M.; Deschler-Erb S.; Detry C.; Dill N.; do Mar Oom M.; Dohr A.; Ellingv√•g S.; Erdenebaatar D.; Fathi H.; Felkel S.; Fern√°ndez-Rodr√≠guez C.; Garc√≠a-Vi√±as E.; Germonpr√© M.; Granado J.D.; Hallsson J.H.; Hemmer H.; Hofreiter M.; Kasparov A.; Khasanov M.; Khazaeli R.; Kosintsev P.; Kristiansen K.; Kubatbek T.; Kuderna L.; Kuznetsov P.; Laleh H.; Leonard J.A.; Lhuillier J.; Liesau von Lettow-Vorbeck C.; Logvin A.; L√µugas L.; Ludwig A.; Luis C.; Arruda A.M.; Marques-Bonet T.; Matoso Silva R.; Merz V.; Mijiddorj E.; Miller B.K.; Monchalov O.; Mohaseb F.A.; Morales A.; Nieto-Espinet A.; Nistelberger H.; Onar V.; P√°lsd√≥ttir A.H.; Pitulko V.; Pitskhelauri K.; Pruvost M.; Rajic Sikanjic P.; Rapan Pape≈°a A.; Roslyakova N.; Sardari A.; Sauer E.; Schafberg R.; Scheu A.; Schibler J.; Schlumbaum A.; Serrand N.; Serres-Armero A.; Shapiro B.; Sheikhi Seno S.; Shevnina I.; Shidrang S.; Southon J.; Star B.; Sykes N.; Taheri K.; Taylor W.; Teegen W.-R.; Trbojeviƒá Vukiƒçeviƒá T.; Trixl S.; Tumen D.; Undrakhbold S.; Usmanova E.; Vahdati A.; Valenzuela-Lamas S.; Viegas C.; Wallner B.; Weinstock J.; Zaibert V.; Clavel B.; Lepetz S.; Mashkour M.; Helgason A.; Stef√°nsson K.; Barrey E.; Willerslev E.; Outram A.K.; Librado P.; Orlando L.","Fages","","Tracking Five Millennia of Horse Management with Extensive Ancient Genome Time Series","","vertebrate","Mammal","anthropogenic","WGS","historical",42669,"5333.625","anthropogenic","anthropogenic"
"5","10.1016_j.cub.2015.08.032.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,"Yes","sarkissian","yes","captivity; domestication; anthropogenic","multiple_inferred","decrease","psmc","none",10,"10.1016/j.cub.2015.08.032",2015,"Der Sarkissian C.; Ermini L.; Schubert M.; Yang M.A.; Librado P.; Fumagalli M.; J√≥nsson H.; Bar-Gal G.K.; Albrechtsen A.; Vieira F.G.; Petersen B.; Ginolhac A.; Seguin-Orlando A.; Magnussen K.; Fages A.; Gamba C.; Lorente-Galdos B.; Polani S.; Steiner C.; Neuditschko M.; Jagannathan V.; Feh C.; Greenblatt C.L.; Ludwig A.; Abramson N.I.; Zimmermann W.; Schafberg R.; Tikhonov A.; Sicheritz-Ponten T.; Willerslev E.; Marques-Bonet T.; Ryder O.A.; McCue M.; Rieder S.; Leeb T.; Slatkin M.; Orlando L.","Der","","evolutionary genomics and conservation of the endangered przewalski's horse","generation time of 8 years from 10.1038/s41586-024-07597-5","vertebrate","equus ferus ssp. przewalskii","natural evolution","WGS","historical","138","17.25","natural evolution","anthropogenic",2,"Yes","yes","multiple_temporal","captivity; domestication; anthropogenic","decrease","dadi","gene flow estimated to decrease 31 to 160 fold during last glacial maximum",10,"10.1016/j.cub.2015.08.032",2015,"Der Sarkissian C.; Ermini L.; Schubert M.; Yang M.A.; Librado P.; Fumagalli M.; J√≥nsson H.; Bar-Gal G.K.; Albrechtsen A.; Vieira F.G.; Petersen B.; Ginolhac A.; Seguin-Orlando A.; Magnussen K.; Fages A.; Gamba C.; Lorente-Galdos B.; Polani S.; Steiner C.; Neuditschko M.; Jagannathan V.; Feh C.; Greenblatt C.L.; Ludwig A.; Abramson N.I.; Zimmermann W.; Schafberg R.; Tikhonov A.; Sicheritz-Ponten T.; Willerslev E.; Marques-Bonet T.; Ryder O.A.; McCue M.; Rieder S.; Leeb T.; Slatkin M.; Orlando L.","Der","","evolutionary genomics and conservation of the endangered przewalski's horse","generation time of 8 years from 10.1038/s41586-024-07597-5","vertebrate","equus ferus ssp. przewalskii","natural evolution","WGS","historical","138","17.25","natural evolution","anthropogenic",2,"Yes","sarkissian","yes","multiple_temporal","captivity; domestication ; anthropogenic ","no change","watersons theta, FHMM","see notes doc",NA,"",NA,10,"10.1016/j.cub.2015.08.032",2015,"Der Sarkissian C.; Ermini L.; Schubert M.; Yang M.A.; Librado P.; Fumagalli M.; J√≥nsson H.; Bar-Gal G.K.; Albrechtsen A.; Vieira F.G.; Petersen B.; Ginolhac A.; Seguin-Orlando A.; Magnussen K.; Fages A.; Gamba C.; Lorente-Galdos B.; Polani S.; Steiner C.; Neuditschko M.; Jagannathan V.; Feh C.; Greenblatt C.L.; Ludwig A.; Abramson N.I.; Zimmermann W.; Schafberg R.; Tikhonov A.; Sicheritz-Ponten T.; Willerslev E.; Marques-Bonet T.; Ryder O.A.; McCue M.; Rieder S.; Leeb T.; Slatkin M.; Orlando L.","Der","","evolutionary genomics and conservation of the endangered przewalski's horse","generation time of 8 years from 10.1038/s41586-024-07597-5","vertebrate","equus ferus ssp. przewalskii","natural evolution","WGS","historical",138,"17.25","natural evolution","anthropogenic"
"6","10.1016_j.jfma.2018.01.019.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,18,"Yes","gong","yes","epidemic","multiple_temporal","increase","Ne/t","none",17,"10.1016/j.jfma.2018.01.019",2019,"Gong Y.-N.; Tsao K.-C.; Chen G.-W.","Gong","","Inferring the global phylodynamics of influenza A/H3N2 viruses in Taiwan","","virus","influenza","host-pathogen","WGS","historical","3 or 38","#N/A","host-pathogen","host-pathogen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","10.1016_j.meegid.2019.03.016.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,22,"Yes","arana","yes","competition","multiple_temporal","decrease","Bayesian Skyride Plot","none",21,"10.1016/j.meegid.2019.03.016",2019,"Arana A.; Jere K.C.; Chaguza C.; Montes M.; Alkorta M.; Iturriza-Gomara M.; Cilla G.","Arana","Acute gastroenteritis; G12 rotavirus; Rotavirus phylodynamics; Wa-like genetic backbone; Whole genome sequencing","molecular epidemiology of g12 rotavirus strains during eight consecutive epidemic seasons in the basque country (north of spain); 2010-2018","Feels kind of phylogeny oriented; can't find generation time","microbes","G12 Rotavirus","host-pathogen","WGS","historical","8",NA,"host-pathogen","host-pathogen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","10.1016_j.meegid.2021.105184.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Yes","chen","yes","multiple_temporal","host-pathogen","pairwise genetic distance of haplotypes","no change","diversity in one individual increased, but mostly stayed the same otherwise; pi ranged 0 to 0.013, with a median value of 0.004 ","see figure in notes document",NA,NA,23,"10.1016/j.meegid.2021.105184",2022,"Chen Q.-Y.; Jia H.-H.; Wang X.-Y.; Shi Y.-L.; Zhang L.-J.; Hu L.-P.; Wang C.; He X.; Harrison T.J.; Jackson J.B.; Wu L.; Fang Z.-L.","Chen","","Analysis of entire hepatitis B virus genomes reveals reversion of mutations to wild type in natural infection; a 15 year follow-up study","","virus","Hepatits B","host-pathogen","WGS","repeated","15","#N/A","host-pathogen",NA,"host-pathogen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","10.1038_s41437-019-0264-5.pdf",2,"Qian","Yes","Yes","No","No","yes","ecogeographical adaptation","increase","Fst","",31,"10.1038/s41437-019-0264-5",2020,"Qian; CJ; Yan; X; Shi; Y; Yin; HX; Chang; YX; Chen; J; Ingvarsson; PK; Nevo; E; Ma; XF","Qian","","adaptive signals of flowering time pathways in wild barley from israel over 28 generations","","plant","hordeum spontaneum","natural evolution","reduced representation","repeated","28","28","natural evolution","natural",5,"Yes","qian","yes","multiple_spatial","global warming;climate change",NA,"no change","focal genes: 1980s pi: 5.9 _ 10_4 to 1.3 _ 10_2; 2008 pi: 7.3 _ 10_4 to 1.6 _ 10_2; control genes: � ranging from 1.9 _ 10_4 to 1.1 _ 10_2 in the ancestral populations and from 4.3 _ 10_4 to 1.2 _ 10_2 in the descendant populations","NA, modern diversity slightly higher but not significant",NA,NA,31,"10.1038/s41437-019-0264-5",2020,"Qian; CJ; Yan; X; Shi; Y; Yin; HX; Chang; YX; Chen; J; Ingvarsson; PK; Nevo; E; Ma; XF","Qian","","adaptive signals of flowering time pathways in wild barley from israel over 28 generations","","plant","hordeum spontaneum","natural evolution","reduced representation","repeated","28","28","natural evolution",NA,"anthropogenic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","10.1038_s41467-021-21281-6.pdf",3,"Iranmehr","Yes","No","No","No","yes","changes in oxygen concentration","no change","PCA","see doc",32,"10.1038/s41467-021-21281-6",2021,"Iranmehr A.; Stobdan T.; Zhou D.; Zhao H.; Kryazhimskiy S.; Bafna V.; Haddad G.G.","Iranmehr","","Multiple mechanisms drive genomic adaptation to extreme O2 levels in Drosophila melanogaster","","invertebrate","Drosophila melanogaster","experimental","WGS","experimental","18","290","experimental","experimental",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,34,"Yes","iranmehr","yes","high 02 levels; experimental","multiple_spatial","decrease","Wright-Fisher Markov-Chain","< 200",32,"10.1038/s41467-021-21281-6",2021,"Iranmehr A.; Stobdan T.; Zhou D.; Zhao H.; Kryazhimskiy S.; Bafna V.; Haddad G.G.","Iranmehr","","Multiple mechanisms drive genomic adaptation to extreme O2 levels in Drosophila melanogaster","","invertebrate","Drosophila melanogaster","experimental","WGS","experimental","18","290","experimental","experimental",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
