doi,include,first_author,measure_in_time_series_data,level_of_analysis,hypothesized_driver_of_change,increase_or_decrease,method_of_estimating,raw_stats,help_needed,,
10.1002_ece3.2402.pdf,Yes,nouhaud,NA,NA,NA,NA,NA,NA,NA,inbreeding mentioned by not qua,
10.1002_ece3.3699.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1002_ece3.4143.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1002_evl3.143.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1002_evl3.229.pdf,Yes,stoffel,NA,NA,NA,NA,NA,NA,NA,,inbreeding appears heavily but doesn’t seem to be time series
10.1002_evl3.269.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1007_s00239-021-10008-2.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1007_s11262-016-1332-z.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1016_j.cell.2019.03.049.pdf,Yes,fages,yes,multiple_temporal,domestication; selective breeding; anthropgenic,increase,calculations in paper,see notes doc,NA,refers to genetic load as a proxy for inbreeding ,
10.1016_j.chaos.2020.110018.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1016_j.cub.2015.08.032.pdf,Yes,sarkissian,yes,multiple_temporal,captivity; domestication ; anthropogenic ,none; inbreeding appears to be roughly the same arcoss historical and modern population,"watersons theta, FHMM",see notes doc,,,
10.1016_j.cub.2016.10.061.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1016_j.cub.2023.01.064.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1016_j.cub.2023.03.084.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1016_j.cub.2024.01.056.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1016_j.envres.2023.115695.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1016_j.jasrep.2020.102364.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1016_j.jfma.2018.01.019.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1016_j.jgg.2020.10.002.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1016_j.meegid.2013.03.035.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1016_j.meegid.2015.02.023.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1016_j.meegid.2019.03.016.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1016_j.meegid.2021.105153.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1016_j.meegid.2021.105184.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1016_j.meegid.2024.105623.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1016_j.soilbio.2019.05.004.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1016_j.watres.2022.118556.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1016_j.ympev.2023.107822.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1021_acs.est.2c00793.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1038_ismej.2015.241.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1038_ncomms3172.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1038_s41437-019-0264-5.pdf,Yes,Qian,NA,NA,NA,NA,NA,NA,NA,references,
10.1038_s41437-022-00499-0.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1038_s41467-021-21281-6.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1038_s41467-022-31622-8.pdf,Yes,stern,no,NA,NA,NA,NA,NA,NA,references,
10.1038_s41467-023-43391-z.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1038_s41477-019-0437-5.pdf,Yes,ramos-madrigal,NA,NA,NA,NA,NA,NA,NA,inbreeding in references not paper,
10.1038_s41558-023-01696-3.pdf,Yes,turbek,yes,multiple_temporal,habitat loss; warming; climate change; anthropogenic,decrease; decrease in both inbreeding and runs of homozygosity ,F; Frosh,see notes structure,,,
10.1038_s41559-019-0921-3.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1038_s41559-020-1271-x.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1038_s41559-022-01665-7.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1038_s41559-022-01816-w.pdf,Yes,parrett,no,NA,NA,NA,NA,NA,NA,not really time series data,
10.1038_s41559-023-02114-9.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1038_s41559-023-02185-8.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1038_s41564-022-01157-1.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1038_s41586-021-03224-9.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1038_s41586-022-04824-9.pdf,Yes,bergstrom,NA,NA,NA,NA,NA,NA,NA,inbredding not quat,
10.1038_s41591-019-0559-3.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1038_srep38915.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1073_pnas.1400378111.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1073_pnas.1620410114.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1073_pnas.1714246115.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1073_pnas.2201521119.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1073_pnas.242608099.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1080_22221751.2022.2040921.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_evolut_qpad054.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_gbe_evaa036.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_gbe_evaa073.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_gbe_evaa178.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_gbe_evaa188.pdf,Yes,parejo,NA,NA,NA,NA,NA,NA,NA,,
10.1093_gbe_evab070.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_gbe_evab154.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_gbe_evab237.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_gbe_evab239.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_gbe_evac074.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_gbe_evac153.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_gbe_evad113.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_gbe_evae063.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_gbe_evae114.pdf,Yes,larrsson,NA,NA,NA,NA,NA,NA,NA,inbreeding breifly mentioned but not quatified,
10.1093_gbe_evy007.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_genetics_iyab142.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_icb_icac098.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_infdis_jit618.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_infdis_jix298.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_jeb_voae068.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_molbev_msab147.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_molbev_msab340.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_molbev_msac014.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_molbev_msac179.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_molbev_msac182.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_molbev_msac189.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_molbev_msac241.pdf,Yes,hempel,"no (comparing 2 distant pops over sampling from 2018-2020 but time element seems unimportant to the rest of analysis, future projections are made from model)",NA,NA,NA,NA,NA,NA,,
10.1093_molbev_msac242.pdf,Yes,ament-velasquez,NA,NA,NA,NA,NA,NA,NA,references,
10.1093_molbev_msac248.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_molbev_msad108.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_molbev_msae053.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_molbev_msae108.pdf,Yes,wang,yes,multiple_spatial,domestication; selective breeding; anthropgenic,increase,"Froh, LD decay","see notes document,",,,
10.1093_molbev_msae128.pdf,Yes,angst,NA,NA,NA,NA,NA,NA,NA,inbreeding heavily discussed but not quatified,
10.1093_molbev_msq002.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_molbev_mst111.pdf,Yes,turner,NA,NA,NA,NA,NA,NA,NA,"""inbred lines""",
10.1093_molbev_mst205.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_molbev_msu048.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_molbev_msu192.pdf,Yes,skoglund,no,NA,NA,NA,NA,NA,NA,seems more like a method/ validation of method paper,
10.1093_molbev_msu256.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_molbev_msu320.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_molbev_msv033.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_molbev_msv248.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_molbev_msw254.pdf,Yes,wecek,NA,NA,NA,NA,NA,NA,NA,"references, mentioned other evidece may suggest but not quant",
10.1093_molbev_msx247.pdf,Yes,seabra,NA,NA,NA,NA,NA,NA,NA,inbreeding avoided in methods,
10.1093_molbev_msx254.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_molbev_msz183.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_ve_vead049.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_ve_veae012.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_ve_vex035.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1093_ve_vez020.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1098_rspb.2015.0801.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1098_rspb.2021.0577.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1098_rspb.2022.1857.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1098_rstb.2022.0190.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1099_MGEN.0.000553.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1099_jgv.0.000258.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1099_mgen.0.001170.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1111_1755-0998.13167.pdf,Yes,gauthier,yes,multiple_spatial,habitat fragmentation; inbreeding depression; pesticide; climate change; anthropogenic,decrese,"Hs, Fis",see notes doc,NA,,
10.1111_1755-0998.13837.pdf,Yes,novo,yes,multiple_temporal,bottleneck; experimental evolution,NA,Ne,NA,Yes,seems more like a method validation paper than relevent to our topic,
10.1111_cobi.13889.pdf,Yes,marshall,yes,multiple_spatial,conservation breeding; reintroduction; anthropogenic,none; genome diversity and inbreeding maintained low levels,"PCA, Fst, Inbreeding coefficent",see notes doc,NA,,
10.1111_eva.12594.pdf,Yes,wales,NA,NA,NA,NA,NA,NA,NA,inbreeding in references not paper,
10.1111_eva.13656.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1111_evo.12849.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1111_evo.13205.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1111_gcb.17126.pdf,Yes,benham,NA,NA,NA,NA,NA,NA,NA,inbreeding not quant,
10.1111_jam.15806.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1111_jeb.13764.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1111_jeb.14152.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1111_mec.12260.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1111_mec.13615.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1111_mec.13748.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1111_mec.14240.pdf,Yes,eoche-bosy,NA,NA,NA,NA,NA,NA,NA,inbredding not quat,
10.1111_mec.15085.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1111_mec.15579.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1111_mec.15687.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1111_mec.16111.pdf,Yes,gompert,NA,NA,NA,NA,NA,NA,NA,inbreeding in references not paper,
10.1111_mec.16451.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1111_mec.16503.pdf,Yes,robin,yes,multiple_temporal,anthropogenic,increase,NA,NA,NA,inbreeding not quat,
10.1111_mec.16748.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1111_mec.16760.pdf,Yes,osborne,yes,multiple_temporal,habitat destruction; anthropogenic,"increase; only validated by one method, other did not detect inbreeding trend",see notes doc,see noted doc,NA,,
10.1111_mec.16933.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1111_mec.17274.pdf,Yes,kellner,NA,NA,NA,NA,NA,NA,NA,inbreeding briefly mentioned but not quatified,
10.1126_sciadv.aax0530.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1128_AEM.00179-18.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1128_JB.00587-20.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1128_JVI.01080-14.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1128_JVI.01519-08.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1128_JVI.02055-14.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1128_mBio.00987-21.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1128_mSystems.00495-21.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1128_msystems.01477-21.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1128_spectrum.01219-22.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1128_spectrum.03128-23.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1186_1471-2148-13-46.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1186_s12711-024-00900-y.pdf,Yes,somenzi,yes,multiple_temporal,"anthropgenic; replacement of local with ""more productive"" cattle",increase; almost all measures of inbreeding (Froh and mean ROH) increased from 2000-2018,Mean ROH & Froh,see notes doc,NA,,
10.1186_s12862-016-0662-8.pdf,Yes,plucain,NA,NA,NA,NA,NA,NA,NA,inbreeding in references not paper,
10.1186_s12862-021-01789-7.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1186_s12862-022-02083-w.pdf,Yes,muller-girard,NA,NA,NA,NA,NA,NA,NA,inbreeding not quat,
10.1186_s12864-016-3298-6.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1186_s12864-017-3485-0.pdf,Yes,michalak,NA,NA,NA,NA,NA,NA,NA,inbreeding breifly mentioned but not quatified,
10.1186_s12864-021-07700-4.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1186_s12866-017-1111-6.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1186_s12866-021-02158-6.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1186_s13059-018-1503-4.pdf,Yes,mallard,NA,NA,NA,NA,NA,NA,NA,inbreeding only mentioned in references,
10.1186_s13059-021-02425-9.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1371_journal.pbio.0030300.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1371_journal.pbio.1001637.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1371_journal.pbio.2001586.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1371_journal.pbio.3002333.pdf,Yes,shpak,yes,multiple_temporal,increased migration; increasing human activity; anthrogenic; natural evolution,increase; more inbreeding found,proportion of IBD,see notes doc,,,
10.1371_journal.pgen.1006585.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1371_journal.pgen.1009722.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
10.1371_journal.pgen.1011333.pdf,No,NA,NA,NA,NA,NA,NA,NA,NA,,
