,File.Name,doi,year,authors,first_author.y,keywords,Title,Notes,Study.system,Taxon,Driver.of.change,Data.type,Experimental.design,Time.scale.years,Time.scale.generations,Driver.of.change.std
72,10.1093_jeb_voae068.pdf,10.1093/jeb/voae068,2024,Parvizi; E; Bachler; A; Zwick; A; Walsh; TK; Moritz; C; McGaughran; A,Parvizi,cotton bollworm; genetic drift; insecticide resistance; museum genomics; selection,historical museum samples reveal signals of selection and drift in response to changing insecticide use in an agricultural pest moth,,invertebrate,Helicoverpa armigera,anthropogenic,reduced representation,historical,92,576,anthropogenic
110,10.1111_1755-0998.13167.pdf,10.1111/1755-0998.13167,2020,Gauthier; Jeremy; Pajkovic; Mila; Neuenschwander; Samuel; Kaila; Lauri; Schmid; Sarah; Orlando; Ludovic; Alvarez; Nadir,Gauthier,,Museomics identifies genetic erosion in two butterfly species across the 20th century in Finland,,invertebrate,Butterflies; Erebia embala; Lycaena helle,anthropogenic,reduced representation,historical,106,50-100,anthropogenic
116,10.1111_gcb.17126.pdf,10.1111/gcb.17126,2024,Benham; Phred M.; Walsh; Jennifer; Bowie; Rauri C. K.,Benham,,Spatial variation in population genomic responses to over a century of anthropogenic change within a tidal marsh songbird,,vertebrate,Bird,anthropogenic,reduced representation,historical,128,48,anthropogenic
143,10.1186_s12711-024-00900-y.pdf,10.1186/s12711-024-00900-y,2024,Somenzi E.; Partel E.; Barbato M.; Chero Osorio A.M.; Colli L.; Franceschi N.; Mantovani R.; Pilla F.; Komjanc M.; Achilli A.; Hauffe H.C.; Ajmone Marsan P.,Somenzi,,genetic legacy and adaptive signatures: investigating the history; diversity; and selection signatures in rendena cattle resilient to eighteenth century rinderpest epidemics,,vertebrate,Bos primigenius,anthropogenic,reduced representation,historical,18,4.5,anthropogenic
16,10.1016_j.jasrep.2020.102364.pdf,10.1016/j.jasrep.2020.102364,2020,Fages; Antoine; Seguin-Orlando; Andaine; Germonpre; Mietje; Orlando; Ludovic,Fages,,Horse males became over-represented in archaeological assemblages during the Bronze Age,,vertebrate,Mammal,anthropogenic,WGS,historical,4600 or 40000,500,anthropogenic
8,10.1016_j.cell.2019.03.049.pdf,10.1016/j.cell.2019.03.049,2019,Fages A.; Hanghøj K.; Khan N.; Gaunitz C.; Seguin-Orlando A.; Leonardi M.; McCrory Constantz C.; Gamba C.; Al-Rasheid K.A.S.; Albizuri S.; Alfarhan A.H.; Allentoft M.; Alquraishi S.; Anthony D.; Baimukhanov N.; Barrett J.H.; Bayarsaikhan J.; Benecke N.; Bernáldez-Sánchez E.; Berrocal-Rangel L.; Biglari F.; Boessenkool S.; Boldgiv B.; Brem G.; Brown D.; Burger J.; Crubézy E.; Daugnora L.; Davoudi H.; de Barros Damgaard P.; de los Ángeles de Chorro y de Villa-Ceballos M.; Deschler-Erb S.; Detry C.; Dill N.; do Mar Oom M.; Dohr A.; Ellingvåg S.; Erdenebaatar D.; Fathi H.; Felkel S.; Fernández-Rodríguez C.; García-Viñas E.; Germonpré M.; Granado J.D.; Hallsson J.H.; Hemmer H.; Hofreiter M.; Kasparov A.; Khasanov M.; Khazaeli R.; Kosintsev P.; Kristiansen K.; Kubatbek T.; Kuderna L.; Kuznetsov P.; Laleh H.; Leonard J.A.; Lhuillier J.; Liesau von Lettow-Vorbeck C.; Logvin A.; Lõugas L.; Ludwig A.; Luis C.; Arruda A.M.; Marques-Bonet T.; Matoso Silva R.; Merz V.; Mijiddorj E.; Miller B.K.; Monchalov O.; Mohaseb F.A.; Morales A.; Nieto-Espinet A.; Nistelberger H.; Onar V.; Pálsdóttir A.H.; Pitulko V.; Pitskhelauri K.; Pruvost M.; Rajic Sikanjic P.; Rapan Papeša A.; Roslyakova N.; Sardari A.; Sauer E.; Schafberg R.; Scheu A.; Schibler J.; Schlumbaum A.; Serrand N.; Serres-Armero A.; Shapiro B.; Sheikhi Seno S.; Shevnina I.; Shidrang S.; Southon J.; Star B.; Sykes N.; Taheri K.; Taylor W.; Teegen W.-R.; Trbojević Vukičević T.; Trixl S.; Tumen D.; Undrakhbold S.; Usmanova E.; Vahdati A.; Valenzuela-Lamas S.; Viegas C.; Wallner B.; Weinstock J.; Zaibert V.; Clavel B.; Lepetz S.; Mashkour M.; Helgason A.; Stefánsson K.; Barrey E.; Willerslev E.; Outram A.K.; Librado P.; Orlando L.,Fages,,Tracking Five Millennia of Horse Management with Extensive Ancient Genome Time Series,,vertebrate,Mammal,anthropogenic,WGS,historical,42669,5333.625,anthropogenic
84,10.1093_molbev_msae108.pdf,10.1093/molbev/msae108,2024,Wang S.-Z.; Yan Y.; Widlund M.; Qian C.-C.; Zhang L.-L.; Zhang S.-J.; Li Z.-M.; Cao P.; Dai Q.-Y.; Feng X.-T.; Liu F.; Wang L.; Gao C.; Fu Q.-M.; Hytönen M.K.; Lohi H.; Savolainen P.; Wang G.-D.,Wang,artificial selection; elkhound; genetic origin; historic dog fur; lapphund; population genomics,historic dog furs unravel the origin and artificial selection of modern nordic lapphund and elkhound dog breeds,,vertebrate,canis f. familiaris,anthropogenic,WGS,historical,200,160,anthropogenic
25,10.1016_j.soilbio.2019.05.004.pdf,10.1016/j.soilbio.2019.05.004,2019,Sun; Shan; Badgley; Brian D.,Sun,,Changes in microbial functional genes within the soil metagenome during forest ecosystem restoration,,microbes,,anthropogenic,metagenomics,repeated,31 or 25,#N/A,anthropogenic
120,10.1111_mec.12260.pdf,10.1111/mec.12260,2013,Therkildsen N.O.; Hemmer-Hansen J.; Als T.D.; Swain D.P.; Morgan M.J.; Trippel E.A.; Palumbi S.R.; Meldrup D.; Nielsen E.E.,Therkildsen,fisheries-induced evolution; Gadus morhua; genome scan; historical DNA; selection; temporal,microevolution in time and space: snp analysis of historical dna reveals dynamic signatures of selection in atlantic cod,,vertebrate,gadus morhua,anthropogenic,reduced representation,repeated,80,9,anthropogenic
112,10.1111_cobi.13889.pdf,10.1111/cobi.13889,2022,Marshall; Imogen R.; Brauer; Chris J.; Wedderburn; Scotte D.; Whiterod; Nick S.; Hammer; Michael P.; Barnes; Thomas C.; Attard; Catherine R. M.; Moeller; Luciana M.; Beheregaray; Luciano B.,Marshall,,Longitudinal monitoring of neutral and adaptive genomic diversity in a reintroduction,,vertebrate,Fish,anthropogenic,WGS,repeated,11,6.111111111,anthropogenic
