0,File Name,'selection','balancing selection','purifying selection','positive selection','selection coefficient','gene ontology',fitness',assigned,author,selection_measured_in_time_series_data,central_question_regarding_selection,outcome_of_central_question,selection_level_of_analysis,selection_hypothesized_driver_of_change,selection_method_of_estimating,selection_candidate_gene_list,added_genes_to_list,selection_coefficent_overall,selection_coefficent_meanofoutliers,
1,10.1002_ece3.2402.pdf,Yes,No,No,No,No,No,Yes,,nouhaud,yes,are selection experiments biased by selection for lab conditions in drosophila,no,multiple_temporal,bias in experimental methods, differences in allelic frequency,no,,NA,NA,
2,10.1002_ece3.3699.pdf,Yes,No,No,No,No,No,Yes,,schmid,no,NA,NA,NA,NA,NA,NA,,NA,NA,
3,10.1002_ece3.4143.pdf,Yes,No,No,No,No,No,No,,cammen,no,NA,NA,NA,NA,NA,NA,,NA,NA,
4,10.1002_evl3.143.pdf,Yes,No,No,No,No,Yes,Yes,,hoedjes,yes,How does selction on reproductive age and larval diet affect the evolution of longevity?,Selection for later reproductive age leads to evolution of longer lifespan; larval diet only affects lifespan in early-reproducing populations,multiple_temporal,reproductive age and diet during larval stage; experimental,glm,yes,yes,NA,NA,
5,10.1002_evl3.229.pdf,Yes,No,Yes,No,Yes,No,Yes,danny,stoffel,no -- only in simulation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,10.1002_evl3.269.pdf,Yes,No,No,No,No,Yes,Yes,,saleh,yes,Are sessile oak populations adapting in parallel to global climate change?,yes,multiple_temporal,climate change; anthropogenic,"Buffalo and Coop 2019, 2020; temporal covariances of allelic frequency changes",yes,yes,NA,NA,
7,10.1007_s00239-021-10008-2.pdf,Yes,No,No,No,No,No,Yes,,hussain,yes,role of mutational pressure vs natural selection in shaping covid evolution,"major role of selection, minor role of mutational pressure",multiple_temporal,epidemic,"ENC plot,",no,,NA,NA,
8,10.1007_s11262-016-1332-z.pdf,Yes,No,No,No,No,No,No,,wilson,no,NA,NA,NA,NA,NA,NA,,NA,NA,
9,10.1016_j.cell.2019.03.049.pdf,Yes,No,Yes,Yes,Yes,No,Yes,Ally,fages,yes,Has the reduced population size of horses during domestication resulted in reduced purifying selection?; What genes experienced positive selection?,"yes; candidate gene list including genes for development, gait",multiple_temporal,domestication,PBS,yes,NA,,,
10,10.1016_j.chaos.2020.110018.pdf,No,No,No,No,No,No,No,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
11,10.1016_j.cub.2015.08.032.pdf,Yes,No,No,No,No,No,No,,sarkissian,no,NA,NA,NA,NA,NA,NA,,NA,NA,
12,10.1016_j.cub.2016.10.061.pdf,Yes,No,No,No,No,No,No,,duggan,no,NA,NA,NA,NA,NA,NA,,NA,NA,
13,10.1016_j.cub.2023.01.064.pdf,No,No,No,No,No,No,No,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
14,10.1016_j.cub.2023.03.084.pdf,Yes,No,No,Yes,No,Yes,No,danny,diéz-del-molino,yes,How has selection shaped mammoth and elephant lineages?,"hair, skin, fat storage, metabolism, immune",multiple_temporal,climate change,fixed derived nonsynonymous mutations,yes,NA,,,
