"","File.Name","X.nucleotide.diversity.","author","measured_in_time_series_data","level_of_analysis","hypothesized_driver_of_change","method_of_estimating","increased_decreased","raw_stats","notes","X","x","collectedmonth","doi","year","journal","volume","issue","dbs","authors","first_author","keywords","Title","include_1stround","include_2ndround","Notes","Type","Study.system","Taxon","Driver.of.change","Data.type","Experimental.design","Time.scale.years","Time.scale.generations","Driver.of.change.std","File.Name.1","increased_decreased_simple"
"1","10.1002_ece3.4143.pdf","No","cammen","yes","multiple_temporal","recovery","snps","no change",NA,NA,50,2310,"may","10.1002/ece3.4143",2018,"ECOL EVOL",8,"13","NA NA wos","Cammen; KM; Schultz; TF; Bowen; WD; Hammill; MO; Puryear; WB; Runstadler; J; Wenzel; FW; Wood; SA; Kinnison; M","Cammen","approximate Bayesian computation; gray seal; harbor seal; restriction site-associated DNA sequencing","genomic signatures of population bottleneck and recovery in northwest atlantic pinnipeds","y","y","generation time calculated from doi.org/10.1111/j.1469-7998.1964.tb04631.x","article ","vertebrate","Halichoerus grypus atlantica & Phoca vitulina vitulina","natural evolution","reduced representation","historical","42","7","natural evolution","10.1002_ece3.4143.pdf",NA
"2","10.1002_evl3.143.pdf","Yes","hoedjes","yes","multiple_temporal","reproductive age and diet; aging and life history","snps; pi","decreased","significant effect of age at reproduction on genome-wide pi: F1,18 =
11.2, P = 0.0036; significant interaction between diet and age of reproduction regeimes F2,18
= 4.3, P = 0.029; low diet and early breeders had lowest average pi LE-CE: P = 0.041, (2) LE-CP: P = 0.034, (3) LE-LP: P
= 0.006, (4) LE-HP: P = 0.005)",NA,63,3716,"may","10.1002/evl3.143",2019,"Evolution Letters",3,"6","er","Hoedjes K.M.; van den Heuvel J.; Kapun M.; Keller L.; Flatt T.; Zwaan B.J.","Hoedjes","Adaptation; diet; longevity; reproduction; ‚Äúevolve and resequence‚Äù","distinct genomic signals of lifespan and life history evolution in response to postponed reproduction and larval diet in drosophila","y","y","","article ","invertebrate","Drosophila melanogaster","experimental","poolseq","experimental",NA,"40","experimental","10.1002_evl3.143.pdf","decreased"
"3","10.1002_evl3.269.pdf","Yes","saleh","yes","multiple_temporal","warming; anthropogenic change","pi over windows","no change","pi _ 0.01205  across age cohorts; no loss of diversity over time",NA,38,1692,"may","10.1002/evl3.269",2022,"EVOL LETT",6,"1","NA NA wos","Saleh; D; Chen; J; Lepl√©; JC; Leroy; T; Truffaut; L; Dencausse; B; Lalanne; C; Labadie; K; Lesur; I; Bert; D; Lagane; F; Morneau; F; Aury; JM; Plomion; C; Lascoux; M; Kremer; A","Saleh","Anthropocene; evolution; linked selection; Little Ice Age; Quercus petraea","genome-wide evolutionary response of european oaks during the anthropocene","y","y","kind of weird contemporary sampling of very old and young trees; regeneration period given from 10-30 years; so I used 20 to calculate it","article ","plant","quercus petraea ","natural evolution","poolseq","repeated","340","17","natural evolution","10.1002_evl3.269.pdf",NA
"4","10.1016_j.cell.2019.03.049.pdf","Yes","fages","yes","multiple_temporal","selective breeding; domestication; anthropogenic","autosomal and y chromosome nucleotide diversity","decreased","most recent sample had a loss of between 9 and 29% nucelotide diversity compared to older samples, potential slight increase in diversity during Roman period with high demand for horses","data extracted from figure",173,NA,"august","10.1016/j.cell.2019.03.049",2019,"",NA,"","","Fages A.; Hangh√∏j K.; Khan N.; Gaunitz C.; Seguin-Orlando A.; Leonardi M.; McCrory Constantz C.; Gamba C.; Al-Rasheid K.A.S.; Albizuri S.; Alfarhan A.H.; Allentoft M.; Alquraishi S.; Anthony D.; Baimukhanov N.; Barrett J.H.; Bayarsaikhan J.; Benecke N.; Bern√°ldez-S√°nchez E.; Berrocal-Rangel L.; Biglari F.; Boessenkool S.; Boldgiv B.; Brem G.; Brown D.; Burger J.; Crub√©zy E.; Daugnora L.; Davoudi H.; de Barros Damgaard P.; de los √Ångeles de Chorro y de Villa-Ceballos M.; Deschler-Erb S.; Detry C.; Dill N.; do Mar Oom M.; Dohr A.; Ellingv√•g S.; Erdenebaatar D.; Fathi H.; Felkel S.; Fern√°ndez-Rodr√≠guez C.; Garc√≠a-Vi√±as E.; Germonpr√© M.; Granado J.D.; Hallsson J.H.; Hemmer H.; Hofreiter M.; Kasparov A.; Khasanov M.; Khazaeli R.; Kosintsev P.; Kristiansen K.; Kubatbek T.; Kuderna L.; Kuznetsov P.; Laleh H.; Leonard J.A.; Lhuillier J.; Liesau von Lettow-Vorbeck C.; Logvin A.; L√µugas L.; Ludwig A.; Luis C.; Arruda A.M.; Marques-Bonet T.; Matoso Silva R.; Merz V.; Mijiddorj E.; Miller B.K.; Monchalov O.; Mohaseb F.A.; Morales A.; Nieto-Espinet A.; Nistelberger H.; Onar V.; P√°lsd√≥ttir A.H.; Pitulko V.; Pitskhelauri K.; Pruvost M.; Rajic Sikanjic P.; Rapan Pape≈°a A.; Roslyakova N.; Sardari A.; Sauer E.; Schafberg R.; Scheu A.; Schibler J.; Schlumbaum A.; Serrand N.; Serres-Armero A.; Shapiro B.; Sheikhi Seno S.; Shevnina I.; Shidrang S.; Southon J.; Star B.; Sykes N.; Taheri K.; Taylor W.; Teegen W.-R.; Trbojeviƒá Vukiƒçeviƒá T.; Trixl S.; Tumen D.; Undrakhbold S.; Usmanova E.; Vahdati A.; Valenzuela-Lamas S.; Viegas C.; Wallner B.; Weinstock J.; Zaibert V.; Clavel B.; Lepetz S.; Mashkour M.; Helgason A.; Stef√°nsson K.; Barrey E.; Willerslev E.; Outram A.K.; Librado P.; Orlando L.","Fages","","Tracking Five Millennia of Horse Management with Extensive Ancient Genome Time Series","","y","","article","vertebrate","Mammal","anthropogenic","WGS","historical","42669","5333.625","anthropogenic","10.1016_j.cell.2019.03.049.pdf","decreased"
"5","10.1016_j.meegid.2021.105184.pdf","Yes","chen","yes","multiple_temporal","host-pathogen","pairwise genetic distance of haplotypes","no change","diversity in one individual increased, but mostly stayed the same otherwise; pi ranged 0 to 0.013, with a median value of 0.004 ","see figure in notes document",156,NA,"august","10.1016/j.meegid.2021.105184",2022,"",NA,"","","Chen Q.-Y.; Jia H.-H.; Wang X.-Y.; Shi Y.-L.; Zhang L.-J.; Hu L.-P.; Wang C.; He X.; Harrison T.J.; Jackson J.B.; Wu L.; Fang Z.-L.","Chen","","Analysis of entire hepatitis B virus genomes reveals reversion of mutations to wild type in natural infection; a 15 year follow-up study","","y","","article","virus","Hepatits B","host-pathogen","WGS","repeated","15","#N/A","host-pathogen","10.1016_j.meegid.2021.105184.pdf",NA
"6","10.1038_s41437-019-0264-5.pdf","Yes","qian","yes","multiple_spatial","global warming;climate change",NA,"no change","focal genes: 1980s pi: 5.9 _ 10_4 to 1.3 _ 10_2; 2008 pi: 7.3 _ 10_4 to 1.6 _ 10_2; control genes: � ranging from 1.9 _ 10_4 to 1.1 _ 10_2 in the ancestral populations and from 4.3 _ 10_4 to 1.2 _ 10_2 in the descendant populations","NA, modern diversity slightly higher but not significant",40,1728,"may","10.1038/s41437-019-0264-5",2020,"HEREDITY",124,"1","NA NA wos","Qian; CJ; Yan; X; Shi; Y; Yin; HX; Chang; YX; Chen; J; Ingvarsson; PK; Nevo; E; Ma; XF","Qian","","adaptive signals of flowering time pathways in wild barley from israel over 28 generations","y","y","","article ","plant","hordeum spontaneum","natural evolution","reduced representation","repeated","28","28","natural evolution","10.1038_s41437-019-0264-5.pdf",NA
"7","10.1038_s41559-022-01816-w.pdf","Yes","parrett","yes","multiple_spatial","sexual selection; experimental evolution","pi in various subsets of genome","decreased","see document","populations selected for the weapon had reduced autosomal diversity compared to those not selected for the weapon; no consistent patterns in sex chromosomes; see figure ",71,3729,"may","10.1038/s41559-022-01816-w",2022,"Nature Ecology and Evolution",6,"9","er","Parrett J.M.; Chmielewski S.; Aydogdu E.; ≈Åukasiewicz A.; Rombauts S.; Szubert-Kruszy≈Ñska A.; Babik W.; Konczal M.; Radwan J.","Parrett","","genomic evidence that a sexually selected trait captures genome-wide variation and facilitates the purging of genetic load","y","y","3 part paper; starts with experimental evolution; then simulation; then natural evolution. Time scale years calculated with 10.1111/eva.12334","article","microbes","Eurytemora affinis","experimental","poolseq","experimental",NA,"10","experimental","10.1038_s41559-022-01816-w.pdf","decreased"
"8","10.1093_gbe_evaa188.pdf","Yes","parejo","yes","multiple_temporal","commercial breeding; emerging disease; anthropogenic change","pi over windows","increased","modern pi: 0.00241, 95% CI 0.00240�0.00243 ; historic pi: 0.00227, 95% CI 0.00224�0.00230)","good example!",45,2044,"may","10.1093/gbe/evaa188",2020,"GENOME BIOL EVOL",12,"12","NA NA wos","Parejo; M; Wragg; D; Henriques; D; Charri√®re; JD; Estonba; A","Parejo","Apis mellifera mellifera; museum genomics; genetic diversity; selection signatures; haplotype phasing; biodiversity","digging into the genomic past of swiss honey bees by whole-genome sequencing museum specimens","y","y","","article","invertebrate","Apis mellifera mellifera","natural evolution","WGS","historical","141","56","natural evolution","10.1093_gbe_evaa188.pdf","increased"
"9","10.1093_gbe_evad113.pdf","Yes","barata","yes","multiple_temporal","breeding system; monogamy or polyandry; experimental evolution","pi over windows","decreased",NA,"decreased in both treatments; no real stats; see figure in word doc",135,NA,"august","10.1093/gbe/evad113",2023,"",NA,"","","Barata C.; Snook R.R.; Ritchie M.G.; Kosiol C.","Barata","","Selection on the Fly: Short-Term Adaptation to an Altered Sexual Selection Regime in Drosophila pseudoobscura","","y","","article","invertebrate","Drosophila pseudoobscura","experimental","poolseq","experimental","#N/A","200","experimental","10.1093_gbe_evad113.pdf","decreased"
"10","10.1093_gbe_evae114.pdf","Yes","larsson","yes","multiple_spatial","domestication","pairwise mismatch rate","decreased",NA,"Didn't use nucleotide diversity because of aDNA concerns; broadly finds genetic diversity decrease over time in sheep",97,2225,"may","10.1093/gbe/evae114",2024,"GENOME BIOL EVOL",16,"6","NA NA wos","Larsson; MNA; Miranda; PM; Pan; L; Vural; KB; Kaptan; D; Soares; AER; Kivikero; H; Kantanen; J; Somel; M; √ñzer; F; Johansson; AM; Stor√•; J; G√ºnther; T","Larsson","sheep; ancient DNA; Baltic; breeds; domestication","ancient sheep genomes reveal four millennia of north european short-tailed sheep in the baltic sea region","m","y","Assuming 3 year generation time from here https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8826587/","article","vertebrate","Ovis aires","domestication; anthropogenic","WGS","historical","4151","1383.666667","anthropogenic","10.1093_gbe_evae114.pdf","decreased"
