"","File.Name","first_author.x","population.structure.","genetic.structure.","spatial.structure.","genomic.structure.","measured_in_time_series_data","hypothesized_driver_of_change","increase_or_decrease","method_of_estimating","raw_stats","X","x","collectedmonth","doi","year","journal","volume","issue","dbs","authors","first_author.y","keywords","Title","include_1stround","include_2ndround","Notes","Type","Study.system","Taxon","Driver.of.change","Data.type","Experimental.design","Time.scale.years","Time.scale.generations","Driver.of.change.std","File.Name.1"
"1","10.1002_ece3.3699.pdf","Schmid","Yes","Yes","No","No","yes","habitat loss to ariculture and urbanization; anthropogenic","none","pairwise observed heterozygosity, pairwise expected heterozygoity, allelic richness, pairwise Fst (Weir and Cockerham)","see doc",54,2522,"may","10.1002/ece3.3699",2018,"ECOL EVOL",8,"3","NA NA wos","Schmid; S; Neuenschwander; S; Pitteloud; C; Heckel; G; Pajkovic; M; Arlettaz; R; Alvarez; N","Schmid","conservation genetics; hybridization capture RAD; phylogeography; population genetics","spatial and temporal genetic dynamics of the grasshopper oedaleus decorus revealed by museum genomics","y","y","","article ","invertebrate","Oedaleus decorus","land use; anthropogenic","WGS","historical","140","","anthropogenic","10.1002_ece3.3699.pdf"
"2","10.1038_s41437-019-0264-5.pdf","Qian","Yes","Yes","No","No","yes","ecogeographical adaptation","increase","Fst","",40,1728,"may","10.1038/s41437-019-0264-5",2020,"HEREDITY",124,"1","NA NA wos","Qian; CJ; Yan; X; Shi; Y; Yin; HX; Chang; YX; Chen; J; Ingvarsson; PK; Nevo; E; Ma; XF","Qian","","adaptive signals of flowering time pathways in wild barley from israel over 28 generations","y","y","","article ","plant","hordeum spontaneum","natural evolution","reduced representation","repeated","28","28","natural evolution","10.1038_s41437-019-0264-5.pdf"
"3","10.1038_s41467-021-21281-6.pdf","Iranmehr","Yes","No","No","No","yes","changes in oxygen concentration","none","PCA","see doc",137,NA,"august","10.1038/s41467-021-21281-6",2021,"",NA,"","","Iranmehr A.; Stobdan T.; Zhou D.; Zhao H.; Kryazhimskiy S.; Bafna V.; Haddad G.G.","Iranmehr","","Multiple mechanisms drive genomic adaptation to extreme O2 levels in Drosophila melanogaster","","y","","article","invertebrate","Drosophila melanogaster","experimental","WGS","experimental","18","290","experimental","10.1038_s41467-021-21281-6.pdf"
"4","10.1038_s41558-023-01696-3.pdf","Turbek","Yes","No","No","No","yes","increases in temperature; anthropogenic climate change","decrease","PCA","see doc",52,2482,"may","10.1038/s41558-023-01696-3",2023,"NAT CLIM CHANGE",13,"7","NA NA wos","Turbek; SP; Bossu; C; Rayne; C; Gruppi; C; Kus; BE; Whitfield; M; Smith; TB; Paxton; EH; Bay; RA; Ruegg; KC","Turbek","","historical dna reveals climate adaptation in an endangered songbird","y","y","Generation time from https://www.fs.usda.gov/rm/pubs/rmrs_gtr060.pdf","article ","vertebrate","Empidonax traillii extimus","climate change; anthropogenic","WGS","historical","35","23","anthropogenic","10.1038_s41558-023-01696-3.pdf"
"5","10.1038_s41559-022-01665-7.pdf","Frei","Yes","No","No","No","yes","Habitat diversity and water depth changes; anthropogenic eutrophication","decrease","PCA, Fst, and admixture","",46,2107,"may","10.1038/s41559-022-01665-7",2022,"NAT ECOL EVOL",6,"4","NA NA wos","Frei; D; De-Kayne; R; Selz; OM; Seehausen; O; Feulner; PGD","Frei","","genomic variation from an extinct species is retained in the extant radiation following speciation reversal","y","y","","article ","vertebrate","Coregonus gutturosus; C. arenicolus; C. wartmanni; C. macrophthalmus","climate change; anthropogenic","WGS","historical","80","16","anthropogenic","10.1038_s41559-022-01665-7.pdf"
"6","10.1038_s41586-022-04824-9.pdf","Bergstrom","Yes","Yes","No","No","yes","glaciation","none","PCA","see doc. This paper barely touches this topic, its just this one graph. Maybe double check to see if worth including in this section. ",168,NA,"august","10.1038/s41586-022-04824-9",2022,"",NA,"","","Bergstrom; Anders; Stanton; David W. G.; Taron; Ulrike H.; Frantz; Laurent; Sinding; Mikkel-Holger S.; Ersmark; Erik; Pfrengle; Saskia; Cassatt-Johnstone; Molly; Lebrasseur; Ophelie; Girdland-Flink; Linus; Fernandes; Daniel M.; Ollivier; Morgane; Speidel; Leo; Gopalakrishnan; Shyam; Westbury; Michael V.; Ramos-Madrigal; Jazmin; Feuerborn; Tatiana R.; Reiter; Ella; Gretzinger; Joscha; Muenzel; Susanne C.; Swali; Pooja; Conard; Nicholas J.; Caroe; Christian; Haile; James; Linderholm; Anna; Androsov; Semyon; Barnes; Ian; Baumann; Chris; Benecke; Norbert; Bocherens; Herve; Brace; Selina; Carden; Ruth F.; Drucker; Dorothee G.; Fedorov; Sergey; Gasparik; Mihaly; Germonpre; Mietje; Grigoriev; Semyon; Groves; Pam; Hertwig; Stefan T.; Ivanova; Varvara V.; Janssens; Luc; Jennings; Richard P.; Kasparov; Aleksei K.; Kirillova; Irina V.; Kurmaniyazov; Islam; Kuzmin; Yaroslav V.; Kosintsev; Pavel A.; Laznickova-Galetova; Martina; Leduc; Charlotte; Nikolskiy; Pavel; Nussbaumer; Marc; O'Drisceoil; Coilin; Orlando; Ludovic; Outram; Alan; Pavlova; Elena Y.; Perri; Angela R.; Pilot; Malgorzata; Pitulko; Vladimir V.; Plotnikov; Valerii V.; Protopopov; Albert V.; Rehazek; Andre; Sablin; Mikhail; Seguin-Orlando; Andaine; Stora; Jan; Verjux; Christian; Zaibert; Victor F.; Zazula; Grant; Crombe; Philippe; Hansen; Anders J.; Willerslev; Eske; Leonard; Jennifer A.; Gotherstrom; Anders; Pinhasi; Ron; Schuenemann; Verena J.; Hofreiter; Michael; Gilbert; M. Thomas P.; Shapiro; Beth; Larson; Greger; Krause; Johannes; Dalen; Love; Skoglund; Pontus","Bergstrom","","Grey wolf genomic history reveals a dual ancestry of dogs","","y","","article","vertebrate","Mammal","natural evolution","WGS","historical","100000 or 300000","30000 or 100000","natural evolution","10.1038_s41586-022-04824-9.pdf"
"7","10.1093_gbe_evaa188.pdf","Parejo","Yes","Yes","No","No","yes","Apicultural practices; pesticide use, agricultural practices","none","PCA, Fst, and admixture","See doc for PCA and admixture. Fst between museum and modern samples was 0.007, 95% CI 0.004-0.009",45,2044,"may","10.1093/gbe/evaa188",2020,"GENOME BIOL EVOL",12,"12","NA NA wos","Parejo; M; Wragg; D; Henriques; D; Charrière; JD; Estonba; A","Parejo","Apis mellifera mellifera; museum genomics; genetic diversity; selection signatures; haplotype phasing; biodiversity","digging into the genomic past of swiss honey bees by whole-genome sequencing museum specimens","y","y","","article","invertebrate","Apis mellifera mellifera","natural evolution","WGS","historical","141","56","natural evolution","10.1093_gbe_evaa188.pdf"
"8","10.1093_jeb_voae068.pdf","Parvizi","Yes","Yes","No","Yes","yes","pesticide use","none","PCA, Fst, and admixture","see doc",42,1806,"may","10.1093/jeb/voae068",2024,"J EVOLUTION BIOL",37,"8","NA NA wos","Parvizi; E; Bachler; A; Zwick; A; Walsh; TK; Moritz; C; McGaughran; A","Parvizi","cotton bollworm; genetic drift; insecticide resistance; museum genomics; selection","historical museum samples reveal signals of selection and drift in response to changing insecticide use in an agricultural pest moth","y","y","","article ","invertebrate","Helicoverpa armigera","anthropogenic","reduced representation","historical","92","576","anthropogenic","10.1093_jeb_voae068.pdf"
"9","10.1093_molbev_msab147.pdf","Immel","Yes","No","No","No","yes","bubonic plague","none","PCA, admixture","see doc",55,2589,"may","10.1093/molbev/msab147",2021,"MOL BIOL EVOL",38,"10","NA NA wos","Immel; A; Key; FM; Szolek; A; Barquera; R; Robinson; MK; Harrison; GF; Palmer; WH; Spyrou; MA; Susat; J; Krause-Kyora; B; Bos; KI; Forrest; S; Hernandez-Zaragoza; DI; Sauter; J; Solloch; U; Schmidt; AH; Schuenemann; VJ; Reiter; E; Kairies; MS; Weiss; R; Arnold; S; Wahl; J; Hollenbach; JA; Kohlbacher; O; Herbig; A; Norman; PJ; Krause; J","Immel","ancient DNA; aDNA; HLA; plague; Yersinia pestis; human immunity; natural selection","analysis of genomic dna from medieval plague victims suggests long-term effect of yersinia pestis on human immunity genes","y","y","","article ","vertebrate","Homo sapiens","host-pathogen","WGS","historical","520","17","host-pathogen","10.1093_molbev_msab147.pdf"
"10","10.1093_molbev_msac014.pdf","Aneli","Yes","Yes","No","No","yes","the roman empire; anthropogenic","decrease","PCA","see doc. ""There, we computed the median distances from the centroid of the IAA samples (excluding the two Mediaeval samples), the Roman Imperials and the Republicans, obtain- ing 0.0093, 0.0140, and 0.0101, respectively. Notably, the dis- tance distributions were not statistically different, thus suggesting that the extent of genetic heterogeneity of IAA individuals is comparable to that of the cosmopolitan Republican and Imperial Roman samples, the latter having experienced a remarkable degree of admixture with foreign Mediterranean groups, pushed by strong geopolitical contin- gencies (Antonio et al. 2019).""",58,2900,"may","10.1093/molbev/msac014",2022,"MOL BIOL EVOL",39,"2","NA NA wos","Aneli; S; Saupe; T; Montinaro; F; Solnik; A; Molinaro; L; Scaggion; C; Carrara; N; Raveane; A; Kivisild; T; Metspalu; M; Scheib; CL; Pagani; L","Aneli","ancient DNA; Dauni; Iron Age; Southern Italy","the genetic origin of daunians and the pan-mediterranean southern italian iron age context","y","y","","article","vertebrate","Homo sapiens","natural evolution","WGS","historical","1,000","33","natural evolution","10.1093_molbev_msac014.pdf"
